time,wx (rad/s),wy (rad/s),wz (rad/s)
0.002268,0.00,-0.00,-0.00
0.013350,0.00,-0.00,-0.00
0.031058,0.00,-0.00,-0.00
0.032661,0.00,0.00,0.00
0.042089,0.00,-0.00,-0.00
0.052655,0.00,-0.00,0.00
0.062665,0.00,-0.00,0.00
0.080353,-0.00,0.00,0.00
0.083201,-0.00,0.00,0.00
0.093673,-0.00,0.00,0.00
0.103938,-0.00,-0.00,0.00
0.114581,0.00,0.00,0.00
0.124238,-0.00,0.00,0.00
0.135988,0.00,0.00,0.00
0.145432,0.00,-0.00,0.00
0.154788,0.00,-0.00,-0.00
0.165442,0.00,0.00,0.00
0.176190,0.00,-0.00,-0.00
0.185726,-0.00,-0.00,-0.00
0.196332,0.00,-0.00,0.00
0.211096,0.00,-0.00,-0.00
0.218271,0.00,0.00,0.00
0.226874,0.00,0.00,-0.00
0.237394,-0.00,0.00,0.00
0.247108,-0.00,-0.00,-0.00
0.257631,0.00,0.00,-0.00
0.268481,-0.00,0.00,-0.00
0.278380,0.00,-0.00,0.00
0.288532,-0.00,-0.00,-0.00
0.298830,0.00,0.00,0.00
0.310017,-0.00,0.00,0.00
0.318809,0.00,0.00,0.00
0.329596,0.00,-0.00,-0.00
0.339790,-0.00,0.00,-0.00
0.350626,0.00,0.00,0.00
0.361181,0.00,0.00,0.00
0.370353,-0.00,0.00,-0.00
0.380848,0.00,-0.00,-0.00
0.391052,-0.00,-0.00,0.00
0.401724,-0.00,0.00,0.00
0.411588,-0.00,-0.00,0.00
0.422172,-0.00,-0.00,0.00
0.432340,0.00,0.00,-0.00
0.444608,-0.00,0.00,0.00
0.453252,-0.00,-0.00,0.00
0.462722,0.00,0.00,0.00
0.473582,0.00,0.00,-0.00
0.482841,-0.00,0.00,0.00
0.493963,0.00,-0.00,0.00
0.503915,0.00,0.00,0.00
0.513984,-0.00,-0.00,0.00
0.524831,-0.00,0.00,0.00
0.534560,-0.00,-0.00,-0.00
0.545302,-0.00,-0.00,0.00
0.561299,0.00,-0.00,-0.00
0.565944,0.00,0.00,0.00
0.575868,0.00,-0.00,-0.00
0.586510,-0.00,0.00,-0.00
0.597250,-0.00,-0.00,-0.00
0.606421,-0.00,-0.00,-0.00
0.617116,0.00,0.00,0.00
0.626772,0.00,0.00,0.00
0.637288,-0.00,-0.00,0.00
0.647887,-0.00,-0.00,0.00
0.658066,-0.00,-0.00,0.00
0.668037,0.00,-0.00,-0.00
0.678025,0.00,0.00,0.00
0.688688,-0.00,-0.00,-0.00
0.709725,-0.00,-0.00,0.00
0.710803,-0.00,0.00,-0.00
0.719757,0.00,0.00,0.00
0.730055,-0.00,-0.00,-0.00
0.740435,0.00,0.00,-0.00
0.750296,0.00,0.00,-0.00
0.760423,0.00,0.00,-0.00
0.770355,-0.00,0.00,-0.00
0.781765,-0.00,0.00,-0.00
0.791186,-0.00,-0.00,-0.00
0.801894,-0.00,0.00,0.00
0.812168,-0.00,0.00,-0.00
0.821796,0.00,-0.00,0.00
0.841807,0.00,-0.00,0.00
0.842837,0.00,-0.00,-0.00
0.852863,-0.00,0.00,0.00
0.862668,-0.00,-0.00,-0.00
0.872821,-0.00,-0.00,-0.00
0.883656,-0.00,0.00,-0.00
0.894162,0.00,-0.00,-0.00
0.903730,0.00,-0.00,0.00
0.914217,0.00,0.00,-0.00
0.924944,-0.00,0.00,-0.00
0.935077,-0.00,0.00,-0.00
0.947341,0.00,-0.00,-0.00
0.955670,-0.00,-0.00,-0.00
0.966944,0.00,0.00,0.00
0.975719,0.00,-0.00,0.00
0.986414,-0.00,0.00,-0.00
0.998104,0.00,0.00,0.00
1.006261,-0.00,0.00,-0.00
1.016727,0.00,-0.00,0.00
1.027034,-0.00,-0.00,0.00
1.036977,-0.00,-0.00,0.00
1.047536,0.00,-0.00,-0.00
1.057771,-0.00,-0.00,-0.00
1.067795,0.00,-0.00,0.00
1.079321,0.00,0.00,-0.00
1.087927,0.00,-0.00,0.00
1.098705,0.00,0.00,0.00
1.108832,0.00,-0.00,-0.00
1.119103,-0.00,0.00,-0.00
1.130042,-0.00,0.00,-0.00
1.139867,-0.00,0.00,-0.00
1.149778,-0.00,0.00,0.00
1.160083,-0.00,0.00,-0.00
1.170130,-0.00,0.00,0.00
1.180393,0.00,-0.00,0.00
1.191101,-0.00,0.00,0.00
1.201288,-0.00,-0.00,0.00
1.212829,-0.00,-0.00,0.00
1.221676,0.00,-0.00,0.00
1.232048,0.00,-0.00,0.00
1.242714,-0.00,-0.00,-0.00
1.252382,0.00,0.00,0.00
1.262886,0.00,0.00,-0.00
1.272990,0.00,-0.00,-0.00
1.282889,0.00,0.00,-0.00
1.293659,0.00,0.00,-0.00
1.303531,0.00,0.00,-0.00
1.314428,0.00,-0.00,0.00
1.324955,-0.00,-0.00,-0.00
1.335132,-0.00,0.00,-0.00
1.345718,-0.00,0.00,-0.00
1.354605,-0.00,0.00,0.00
1.365427,0.00,-0.00,0.00
1.375706,-0.00,-0.00,0.00
1.386355,-0.00,-0.00,-0.00
1.395779,0.00,-0.00,0.00
