time,wx (rad/s),wy (rad/s),wz (rad/s)
0.002176,0.08,0.15,-0.68
0.008172,0.09,0.21,-0.70
0.028270,0.11,0.24,-0.70
0.028936,0.12,0.22,-0.68
0.043001,0.11,0.18,-0.64
0.060118,0.13,0.12,-0.61
0.060591,0.22,0.05,-0.58
0.076974,0.33,-0.02,-0.54
0.093578,0.38,-0.09,-0.49
0.094154,0.30,-0.13,-0.48
0.109497,0.17,-0.10,-0.36
0.110062,-0.03,-0.09,-0.46
0.126240,-0.21,-0.10,-0.63
0.141159,-0.26,-0.15,-0.55
0.141859,-0.32,-0.27,-0.44
0.159191,-0.41,-0.41,-0.35
0.173939,-0.54,-0.51,-0.30
0.174615,-0.68,-0.53,-0.30
0.191526,-0.81,-0.50,-0.35
0.192241,-0.88,-0.48,-0.38
0.207855,-0.90,-0.55,-0.37
0.225372,-0.88,-0.71,-0.30
0.226321,-0.83,-0.89,-0.20
0.240058,-0.78,-1.02,-0.14
0.243600,-0.73,-1.08,-0.11
0.256290,-0.70,-1.04,-0.12
0.274143,-0.67,-0.84,-0.22
0.274861,-0.60,-0.42,-0.39
0.290754,-0.45,0.13,-0.62
0.307792,-0.19,0.71,-0.84
0.308623,0.09,1.20,-1.01
0.322859,0.24,1.50,-1.12
0.326151,0.18,1.53,-1.15
0.342469,-0.05,1.32,-1.11
0.346016,-0.32,1.01,-1.03
0.356194,-0.53,0.70,-0.94
0.366336,-0.64,0.39,-0.82
0.377728,-0.72,0.01,-0.68
0.387593,-0.80,-0.38,-0.53
0.397500,-0.85,-0.69,-0.41
0.407675,-0.80,-0.83,-0.34
0.417402,-0.66,-0.88,-0.30
0.427695,-0.50,-0.88,-0.27
0.438383,-0.38,-0.87,-0.25
0.456730,-0.34,-0.85,-0.24
0.459061,-0.36,-0.78,-0.24
0.469352,-0.40,-0.60,-0.29
0.479898,-0.40,-0.29,-0.38
0.489793,-0.31,0.07,-0.48
0.499617,-0.14,0.37,-0.55
0.509990,0.06,0.55,-0.59
0.520821,0.19,0.62,-0.60
0.530865,0.22,0.59,-0.60
0.541101,0.14,0.49,-0.57
0.551524,0.07,0.31,-0.42
0.561809,-0.02,0.13,-0.41
0.571914,-0.10,-0.01,-0.47
0.589727,-0.15,-0.11,-0.39
0.592974,-0.26,-0.18,-0.34
0.603081,-0.38,-0.25,-0.32
0.612659,-0.49,-0.38,-0.29
0.623308,-0.65,-0.66,-0.22
0.632650,-0.92,-1.16,-0.10
0.643845,-1.33,-1.87,0.05
0.654730,-1.81,-2.64,0.20
0.664259,-2.18,-3.17,0.34
0.674772,-2.43,-3.67,0.47
0.685059,-2.48,-4.15,0.58
0.694477,-2.39,-4.68,0.71
0.705782,-2.28,-5.27,0.85
0.721907,-2.20,-5.79,1.00
0.725694,-2.14,-6.09,1.12
0.735971,-2.06,-6.13,1.23
0.746455,-1.90,-6.01,1.30
0.756508,-1.62,-5.85,1.36
0.766061,-1.20,-5.62,1.37
0.776373,-0.68,-5.25,1.32
0.787516,-0.13,-4.68,1.17
0.797836,0.40,-3.94,0.94
0.808545,0.93,-3.22,0.64
0.818207,1.40,-2.29,0.31
0.828793,1.71,-1.62,0.04
0.837691,1.80,-1.25,-0.11
0.848620,1.75,-1.06,-0.19
0.862042,1.63,-0.88,-0.25
0.868710,1.42,-0.62,-0.34
0.879611,1.08,-0.30,-0.42
0.889970,0.63,0.03,-0.47
0.900227,0.16,0.31,-0.48
0.909761,-0.32,0.54,-0.47
0.920211,-0.78,0.79,-0.44
0.930131,-1.29,1.00,-0.33
0.941150,-1.92,1.18,-0.17
0.950690,-2.82,1.34,0.04
0.961154,-3.81,1.43,0.34
0.971406,-5.22,1.63,0.68
0.981944,-6.95,2.10,1.00
0.994234,-9.03,2.94,1.31
1.001776,-11.22,4.16,1.61
1.012337,-12.88,5.52,1.93
1.022661,-13.27,6.48,2.23
1.033131,-12.13,6.59,2.42
1.043546,-9.97,5.94,2.46
1.053530,-7.54,4.94,2.42
1.064155,-5.39,4.01,2.43
1.074260,-3.80,3.35,2.55
1.083943,-2.90,3.17,2.94
1.094962,-2.25,2.95,3.20
1.107450,-1.99,2.93,3.56
1.115192,-1.85,2.79,3.70
1.125158,-1.73,2.39,3.44
1.136033,-1.53,1.65,2.68
1.145733,-1.07,0.42,1.10
1.156990,-0.24,-1.28,-0.94
1.165884,1.11,-3.43,-3.12
1.176405,3.10,-5.96,-5.00
1.187555,5.88,-8.82,-6.30
1.196819,9.52,-11.94,-7.03
1.207301,13.68,-14.63,-7.13
1.217856,17.20,-15.64,-6.70
1.228226,18.74,-14.47,-6.13
1.238411,17.99,-11.99,-5.63
1.248468,15.75,-9.40,-5.10
1.258240,13.02,-7.29,-4.44
1.269265,10.36,-5.61,-3.72
1.279284,7.81,-4.03,-3.07
1.289384,5.20,-2.22,-2.58
1.299444,2.59,-0.23,-2.18
1.310219,0.10,1.44,-1.52
1.320327,-1.46,2.07,-0.57
1.330245,-1.89,1.35,0.48
1.340205,-1.37,-0.06,1.32
1.351313,-0.46,-1.34,1.69
1.360927,0.38,-2.04,1.62
1.372663,0.90,-2.13,1.32
1.381623,1.03,-1.83,1.02
1.392491,0.85,-1.34,0.78
1.402490,0.52,-0.80,0.61
1.412444,0.19,-0.33,0.46
1.422497,-0.05,-0.01,0.36
1.433026,-0.23,0.15,0.32
1.443989,-0.41,0.23,0.36
1.453994,-0.69,0.34,0.46
1.464543,-1.12,0.53,0.61
1.474236,-1.69,0.79,0.78
1.484544,-2.35,1.04,0.98
1.495019,-3.02,1.15,1.24
1.505581,-3.38,1.03,1.54
1.515070,-3.74,0.69,1.88
1.525458,-4.08,0.24,2.23
1.536679,-4.59,-0.10,2.57
1.545736,-5.55,-0.10,2.91
1.556004,-7.17,0.46,3.25
1.566425,-9.42,1.82,3.51
1.576999,-11.73,3.96,3.60
1.586832,-12.96,6.31,3.53
1.597567,-12.39,7.88,3.36
1.607650,-10.47,8.18,3.12
1.618167,-8.22,7.51,2.84
1.627838,-6.26,6.46,2.55
1.637915,-4.73,5.43,2.31
1.648413,-3.52,4.64,2.19
1.659039,-2.45,4.13,2.23
1.669213,-1.36,3.78,2.38
1.679462,-0.23,3.39,2.51
1.688943,0.79,2.79,2.44
1.700112,1.58,1.43,1.78
1.709921,1.99,-0.48,0.64
1.720590,1.76,-2.89,-0.73
1.730781,0.78,-5.05,-1.98
1.740650,-0.72,-6.91,-2.84
