time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001380,0.0369,-0.0427,0.4963,0.500
0.011560,0.0374,-0.0431,0.4978,0.501
0.033621,0.0373,-0.0429,0.4983,0.502
0.034843,0.0379,-0.0431,0.5005,0.504
0.041230,0.0379,-0.0432,0.5002,0.504
0.051800,0.0381,-0.0429,0.4996,0.503
0.065534,0.0380,-0.0428,0.4995,0.503
0.072254,0.0381,-0.0425,0.4968,0.500
0.081702,0.0379,-0.0429,0.4974,0.501
0.091970,0.0383,-0.0428,0.4953,0.499
0.104419,0.0380,-0.0424,0.4923,0.496
0.112913,0.0375,-0.0423,0.4914,0.495
0.122747,0.0388,-0.0436,0.4923,0.496
0.132586,0.0374,-0.0423,0.4906,0.494
0.143242,0.0368,-0.0416,0.4893,0.492
0.154440,0.0363,-0.0416,0.4855,0.489
0.163068,0.0365,-0.0412,0.4840,0.487
0.173206,0.0361,-0.0405,0.4818,0.485
0.183621,0.0361,-0.0405,0.4811,0.484
0.197127,0.0362,-0.0406,0.4798,0.483
0.203395,0.0359,-0.0408,0.4784,0.482
0.214099,0.0355,-0.0403,0.4756,0.479
0.224028,0.0358,-0.0403,0.4760,0.479
0.233968,0.0354,-0.0403,0.4753,0.478
0.244109,0.0354,-0.0400,0.4748,0.478
0.254936,0.0353,-0.0400,0.4730,0.476
0.264307,0.0350,-0.0398,0.4712,0.474
0.274668,0.0348,-0.0401,0.4721,0.475
0.284667,0.0352,-0.0400,0.4722,0.475
0.295325,0.0350,-0.0403,0.4732,0.476
0.304667,0.0352,-0.0404,0.4740,0.477
0.315152,0.0353,-0.0405,0.4752,0.478
0.328827,0.0354,-0.0405,0.4767,0.480
0.335586,0.0353,-0.0405,0.4760,0.479
0.345813,0.0355,-0.0404,0.4745,0.478
0.355763,0.0360,-0.0406,0.4785,0.482
0.366302,0.0359,-0.0407,0.4773,0.480
0.375953,0.0361,-0.0411,0.4787,0.482
0.385888,0.0361,-0.0412,0.4799,0.483
0.396383,0.0363,-0.0414,0.4806,0.484
0.406386,0.0366,-0.0415,0.4835,0.487
0.416820,0.0364,-0.0417,0.4866,0.490
0.426810,0.0363,-0.0419,0.4867,0.490
0.437032,0.0362,-0.0419,0.4861,0.489
0.447462,0.0364,-0.0421,0.4872,0.490
0.463746,0.0364,-0.0423,0.4876,0.491
