time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002107,0.0326,-0.0760,-0.1740,0.193
0.006280,0.0327,-0.0770,-0.1799,0.198
0.017313,0.0358,-0.0866,-0.2026,0.223
0.033127,0.0466,-0.1166,-0.2741,0.301
0.037009,0.0568,-0.1441,-0.3382,0.372
0.047485,0.0655,-0.1702,-0.3963,0.436
0.057636,0.0741,-0.1969,-0.4572,0.503
0.067592,0.0790,-0.2151,-0.5070,0.556
0.077971,0.0836,-0.2344,-0.5677,0.620
0.087674,0.0853,-0.2502,-0.6238,0.678
0.098171,0.0779,-0.2452,-0.6312,0.682
0.107894,0.0694,-0.2363,-0.6248,0.672
0.118358,0.0599,-0.2132,-0.5770,0.618
0.129493,0.0489,-0.1824,-0.5000,0.534
0.139557,0.0372,-0.1469,-0.4034,0.431
0.148668,0.0232,-0.1023,-0.2828,0.302
0.158597,0.0140,-0.0751,-0.2110,0.224
0.168717,0.0108,-0.0792,-0.2266,0.240
0.179831,0.0085,-0.1002,-0.2911,0.308
0.188709,0.0043,-0.1225,-0.3599,0.380
0.199869,-0.0015,-0.1241,-0.3684,0.389
0.209489,-0.0073,-0.1218,-0.3668,0.387
0.220025,-0.0125,-0.1146,-0.3528,0.371
0.229784,-0.0153,-0.0947,-0.2963,0.311
0.240014,-0.0169,-0.0714,-0.2291,0.241
0.250900,-0.0160,-0.0509,-0.1691,0.177
0.259897,-0.0148,-0.0378,-0.1294,0.136
0.269828,-0.0174,-0.0372,-0.1296,0.136
0.280133,-0.0212,-0.0381,-0.1355,0.142
0.290222,-0.0189,-0.0287,-0.1055,0.111
0.300976,-0.0178,-0.0232,-0.0887,0.093
0.312171,-0.0123,-0.0136,-0.0549,0.058
0.320559,-0.0093,-0.0087,-0.0370,0.039
0.331548,-0.0085,-0.0068,-0.0304,0.032
0.341429,-0.0098,-0.0070,-0.0323,0.034
0.352330,-0.0062,-0.0040,-0.0190,0.020
0.361675,-0.0007,-0.0004,-0.0020,0.002
0.371578,0.0268,0.0150,0.0747,0.081
0.381675,0.0510,0.0274,0.1389,0.150
0.392058,0.0711,0.0377,0.1922,0.208
0.402115,0.0966,0.0505,0.2612,0.283
0.411864,0.1275,0.0653,0.3445,0.373
0.422030,0.1546,0.0774,0.4187,0.453
0.432673,0.1726,0.0853,0.4717,0.509
0.442781,0.1795,0.0890,0.4983,0.537
0.463284,0.1618,0.0816,0.4580,0.493
0.464429,0.1399,0.0732,0.4085,0.438
0.473037,0.1451,0.0791,0.4357,0.466
0.483189,0.1555,0.0867,0.4741,0.506
0.493549,0.1447,0.0853,0.4551,0.485
0.503257,0.1143,0.0756,0.3831,0.407
0.514469,0.0910,0.0690,0.3335,0.353
0.523487,0.0746,0.0629,0.2950,0.311
0.534923,0.0738,0.0664,0.3089,0.324
0.543902,0.0603,0.0644,0.2866,0.300
0.554753,0.0495,0.0599,0.2622,0.273
0.563909,0.0448,0.0615,0.2710,0.281
0.574161,0.0480,0.0732,0.3278,0.339
0.593833,0.0548,0.0901,0.4069,0.420
0.595242,0.0660,0.1118,0.5078,0.524
0.604618,0.0742,0.1254,0.5708,0.589
0.615081,0.0795,0.1328,0.6106,0.630
0.624829,0.0781,0.1296,0.5965,0.615
0.635192,0.0721,0.1156,0.5323,0.549
0.645519,0.0743,0.1065,0.4984,0.515
