time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002751,-0.0946,-0.8145,-0.0296,0.821
0.003738,-0.0953,-0.8157,-0.0296,0.822
0.013165,-0.0951,-0.8160,-0.0296,0.822
0.030528,-0.0935,-0.8074,-0.0289,0.813
0.033133,-0.0928,-0.7949,-0.0285,0.801
0.043535,-0.0925,-0.7884,-0.0286,0.794
0.053781,-0.0925,-0.7815,-0.0284,0.787
0.064220,-0.0924,-0.7795,-0.0281,0.785
0.074594,-0.0923,-0.7748,-0.0282,0.781
0.085043,-0.0923,-0.7747,-0.0285,0.781
0.094545,-0.0902,-0.7642,-0.0285,0.770
0.104182,-0.0839,-0.7293,-0.0271,0.735
0.114798,-0.0778,-0.6968,-0.0257,0.702
0.124763,-0.0707,-0.6569,-0.0242,0.661
0.135140,-0.0669,-0.6390,-0.0234,0.643
0.145178,-0.0656,-0.6322,-0.0233,0.636
0.155415,-0.0658,-0.6205,-0.0227,0.624
0.165293,-0.0680,-0.6205,-0.0229,0.625
0.178900,-0.0716,-0.6271,-0.0231,0.632
0.185353,-0.0749,-0.6340,-0.0236,0.639
0.195333,-0.0775,-0.6450,-0.0241,0.650
0.206034,-0.0799,-0.6567,-0.0246,0.662
0.217776,-0.0818,-0.6648,-0.0247,0.670
0.226476,-0.0832,-0.6690,-0.0248,0.675
0.236440,-0.0840,-0.6744,-0.0250,0.680
0.246320,-0.0842,-0.6765,-0.0251,0.682
0.256316,-0.0850,-0.6869,-0.0255,0.693
0.267451,-0.0842,-0.6863,-0.0253,0.692
0.276834,-0.0823,-0.6832,-0.0252,0.689
0.286466,-0.0808,-0.6840,-0.0251,0.689
0.297435,-0.0815,-0.7015,-0.0257,0.707
0.311536,-0.0834,-0.7213,-0.0264,0.727
0.317497,-0.0893,-0.7521,-0.0276,0.758
0.326959,-0.0984,-0.8008,-0.0296,0.807
0.337476,-0.1046,-0.8318,-0.0309,0.839
0.347341,-0.1087,-0.8529,-0.0315,0.860
0.358336,-0.1118,-0.8778,-0.0326,0.885
0.367547,-0.1113,-0.8857,-0.0326,0.893
0.377631,-0.1092,-0.8891,-0.0325,0.896
0.387908,-0.1075,-0.8965,-0.0325,0.903
0.398452,-0.1064,-0.8960,-0.0321,0.903
0.408497,-0.1061,-0.8967,-0.0314,0.904
0.418484,-0.1072,-0.9020,-0.0312,0.909
0.428731,-0.1085,-0.9046,-0.0311,0.912
0.439114,-0.1089,-0.9043,-0.0307,0.911
0.460640,-0.1082,-0.8963,-0.0302,0.903
0.461830,-0.1058,-0.8796,-0.0298,0.886
0.469238,-0.1041,-0.8663,-0.0295,0.873
0.479208,-0.1036,-0.8603,-0.0290,0.867
0.489194,-0.1042,-0.8502,-0.0287,0.857
0.499513,-0.1042,-0.8340,-0.0280,0.841
0.509924,-0.1050,-0.8256,-0.0277,0.833
0.519952,-0.1054,-0.8153,-0.0276,0.823
0.530349,-0.1060,-0.8120,-0.0270,0.819
0.540066,-0.1071,-0.8147,-0.0272,0.822
0.549834,-0.1091,-0.8179,-0.0272,0.826
0.560186,-0.1112,-0.8211,-0.0272,0.829
0.570402,-0.1139,-0.8231,-0.0272,0.831
0.581196,-0.1161,-0.8210,-0.0271,0.830
0.594602,-0.1164,-0.8128,-0.0265,0.822
0.601241,-0.1156,-0.8021,-0.0260,0.811
0.610984,-0.1149,-0.7961,-0.0261,0.805
0.620842,-0.1117,-0.7802,-0.0259,0.789
0.632354,-0.1102,-0.7760,-0.0261,0.784
0.641880,-0.1110,-0.7791,-0.0263,0.787
0.651574,-0.1135,-0.7861,-0.0265,0.795
0.662112,-0.1180,-0.8013,-0.0269,0.810
0.671296,-0.1211,-0.8043,-0.0268,0.814
0.682137,-0.1231,-0.8021,-0.0268,0.812
0.692365,-0.1217,-0.7950,-0.0263,0.805
0.702311,-0.1199,-0.7916,-0.0261,0.801
0.712554,-0.1171,-0.7829,-0.0257,0.792
0.722397,-0.1147,-0.7757,-0.0255,0.785
0.741650,-0.1130,-0.7641,-0.0253,0.773
0.742976,-0.1108,-0.7489,-0.0246,0.757
0.752893,-0.1060,-0.7270,-0.0239,0.735
0.763571,-0.1011,-0.7029,-0.0230,0.710
0.772871,-0.0965,-0.6862,-0.0226,0.693
0.783107,-0.0909,-0.6668,-0.0220,0.673
0.793110,-0.0865,-0.6500,-0.0215,0.656
0.803692,-0.0838,-0.6415,-0.0214,0.647
0.814383,-0.0807,-0.6314,-0.0212,0.637
0.824010,-0.0827,-0.6441,-0.0217,0.650
0.834034,-0.0856,-0.6572,-0.0223,0.663
0.844003,-0.0876,-0.6674,-0.0227,0.673
0.854518,-0.0878,-0.6693,-0.0227,0.675
0.868531,-0.0869,-0.6689,-0.0228,0.675
0.874237,-0.0863,-0.6779,-0.0232,0.684
0.884475,-0.0861,-0.6905,-0.0238,0.696
0.894464,-0.0880,-0.7083,-0.0244,0.714
0.904545,-0.0909,-0.7238,-0.0251,0.730
0.915668,-0.0937,-0.7397,-0.0257,0.746
0.925521,-0.0957,-0.7500,-0.0260,0.757
0.935881,-0.0956,-0.7527,-0.0261,0.759
0.946980,-0.0944,-0.7501,-0.0261,0.757
0.955982,-0.0941,-0.7557,-0.0264,0.762
0.966023,-0.0931,-0.7646,-0.0267,0.771
0.975705,-0.0931,-0.7738,-0.0272,0.780
0.986420,-0.0943,-0.7854,-0.0281,0.792
1.002185,-0.0952,-0.7907,-0.0284,0.797
1.006150,-0.0957,-0.7944,-0.0287,0.801
1.016637,-0.0969,-0.7969,-0.0288,0.803
1.026707,-0.0951,-0.7885,-0.0286,0.795
1.036125,-0.0923,-0.7772,-0.0282,0.783
1.046896,-0.0897,-0.7748,-0.0279,0.780
1.057085,-0.0878,-0.7756,-0.0281,0.781
1.067373,-0.0879,-0.7800,-0.0285,0.785
1.077809,-0.0887,-0.7854,-0.0287,0.791
1.087310,-0.0908,-0.7912,-0.0288,0.797
1.097150,-0.0929,-0.7968,-0.0290,0.803
1.107198,-0.0942,-0.8015,-0.0291,0.808
1.117998,-0.0955,-0.8039,-0.0292,0.810
1.128336,-0.0988,-0.8167,-0.0298,0.823
1.137808,-0.1018,-0.8300,-0.0302,0.837
1.150198,-0.1053,-0.8472,-0.0312,0.854
1.158478,-0.1078,-0.8589,-0.0319,0.866
1.168199,-0.1088,-0.8595,-0.0318,0.867
1.179348,-0.1095,-0.8631,-0.0317,0.871
1.188578,-0.1100,-0.8624,-0.0317,0.870
1.199101,-0.1101,-0.8620,-0.0319,0.870
1.208950,-0.1093,-0.8563,-0.0317,0.864
1.218913,-0.1072,-0.8461,-0.0313,0.853
1.228693,-0.1046,-0.8344,-0.0305,0.841
1.239489,-0.1033,-0.8275,-0.0300,0.834
1.249287,-0.1016,-0.8140,-0.0298,0.821
1.260408,-0.1008,-0.8063,-0.0292,0.813
1.270623,-0.0988,-0.7982,-0.0288,0.805
1.283110,-0.0988,-0.7982,-0.0289,0.805
1.290509,-0.0990,-0.8000,-0.0291,0.807
1.299396,-0.0997,-0.8010,-0.0294,0.808
1.310408,-0.1000,-0.8006,-0.0291,0.807
1.320519,-0.0992,-0.7974,-0.0289,0.804
1.331335,-0.0964,-0.7885,-0.0283,0.795
1.340569,-0.0931,-0.7783,-0.0278,0.784
1.350561,-0.0904,-0.7717,-0.0273,0.777
1.361647,-0.0885,-0.7660,-0.0267,0.772
1.371330,-0.0892,-0.7693,-0.0268,0.775
1.381171,-0.0894,-0.7668,-0.0266,0.772
1.391795,-0.0894,-0.7669,-0.0263,0.773
1.401211,-0.0896,-0.7667,-0.0262,0.772
1.411634,-0.0896,-0.7645,-0.0258,0.770
1.422221,-0.0902,-0.7680,-0.0259,0.774
1.431766,-0.0911,-0.7710,-0.0261,0.777
1.442738,-0.0911,-0.7710,-0.0261,0.777
1.452170,-0.0914,-0.7730,-0.0259,0.779
1.462034,-0.0915,-0.7751,-0.0261,0.781
1.472093,-0.0913,-0.7709,-0.0257,0.777
1.482420,-0.0887,-0.7548,-0.0250,0.760
1.492764,-0.0851,-0.7380,-0.0244,0.743
1.502950,-0.0818,-0.7235,-0.0237,0.728
1.512685,-0.0792,-0.7141,-0.0236,0.719
1.523097,-0.0782,-0.7090,-0.0237,0.714
1.533026,-0.0773,-0.7058,-0.0237,0.710
1.543615,-0.0788,-0.7121,-0.0242,0.717
1.552915,-0.0806,-0.7180,-0.0246,0.723
1.563166,-0.0815,-0.7211,-0.0248,0.726
1.574040,-0.0819,-0.7271,-0.0251,0.732
1.583587,-0.0810,-0.7264,-0.0252,0.731
1.594048,-0.0809,-0.7310,-0.0254,0.736
1.603906,-0.0810,-0.7423,-0.0258,0.747
1.614019,-0.0814,-0.7551,-0.0264,0.760
1.624454,-0.0820,-0.7698,-0.0270,0.775
1.634961,-0.0817,-0.7791,-0.0274,0.784
1.644108,-0.0806,-0.7829,-0.0274,0.788
1.655458,-0.0789,-0.7810,-0.0273,0.785
1.664893,-0.0776,-0.7786,-0.0271,0.783
1.674978,-0.0777,-0.7784,-0.0270,0.783
1.685118,-0.0796,-0.7845,-0.0273,0.789
1.694746,-0.0834,-0.7922,-0.0276,0.797
1.705486,-0.0866,-0.7983,-0.0280,0.803
1.715206,-0.0894,-0.7984,-0.0280,0.804
1.726462,-0.0921,-0.8056,-0.0281,0.811
1.735556,-0.0938,-0.8097,-0.0280,0.816
1.746527,-0.0940,-0.8095,-0.0279,0.815
1.756604,-0.0946,-0.8131,-0.0278,0.819
1.766500,-0.0962,-0.8217,-0.0283,0.828
1.776054,-0.0981,-0.8254,-0.0287,0.832
1.786958,-0.1014,-0.8312,-0.0291,0.838
1.796338,-0.1052,-0.8387,-0.0294,0.846
1.807010,-0.1086,-0.8420,-0.0295,0.850
1.817198,-0.1100,-0.8372,-0.0294,0.845
1.826528,-0.1099,-0.8254,-0.0289,0.833
1.837013,-0.1106,-0.8190,-0.0290,0.827
1.847265,-0.1106,-0.8117,-0.0288,0.820
1.857901,-0.1121,-0.8111,-0.0287,0.819
1.867727,-0.1139,-0.8122,-0.0289,0.821
1.877834,-0.1135,-0.8078,-0.0289,0.816
1.887928,-0.1117,-0.7993,-0.0286,0.808
1.898033,-0.1094,-0.7920,-0.0281,0.800
1.908975,-0.1066,-0.7782,-0.0275,0.786
1.918183,-0.1043,-0.7708,-0.0271,0.778
1.927725,-0.1006,-0.7543,-0.0264,0.761
1.937879,-0.0972,-0.7419,-0.0260,0.749
1.948652,-0.0923,-0.7231,-0.0252,0.729
1.958683,-0.0862,-0.6973,-0.0244,0.703
1.968512,-0.0819,-0.6778,-0.0235,0.683
1.979306,-0.0777,-0.6579,-0.0226,0.663
1.989487,-0.0745,-0.6434,-0.0219,0.648
1.999065,-0.0719,-0.6298,-0.0216,0.634
2.009202,-0.0708,-0.6251,-0.0215,0.629
2.019252,-0.0720,-0.6369,-0.0218,0.641
2.029430,-0.0739,-0.6518,-0.0222,0.656
2.039647,-0.0756,-0.6649,-0.0225,0.670
2.050221,-0.0778,-0.6793,-0.0229,0.684
2.060131,-0.0797,-0.6920,-0.0235,0.697
2.070347,-0.0805,-0.6997,-0.0239,0.705
2.079805,-0.0830,-0.7183,-0.0246,0.723
2.092735,-0.0852,-0.7351,-0.0251,0.740
2.100087,-0.0859,-0.7455,-0.0254,0.751
2.110807,-0.0869,-0.7598,-0.0261,0.765
2.121036,-0.0874,-0.7723,-0.0269,0.778
2.130808,-0.0894,-0.7872,-0.0275,0.793
2.140793,-0.0915,-0.7952,-0.0279,0.801
2.151341,-0.0964,-0.8121,-0.0284,0.818
2.160634,-0.1028,-0.8335,-0.0291,0.840
2.171491,-0.1081,-0.8501,-0.0297,0.857
2.181866,-0.1122,-0.8687,-0.0303,0.876
2.191375,-0.1147,-0.8806,-0.0311,0.889
2.202482,-0.1140,-0.8816,-0.0312,0.890
2.211794,-0.1120,-0.8781,-0.0312,0.886
2.223591,-0.1092,-0.8690,-0.0307,0.876
2.231556,-0.1064,-0.8572,-0.0305,0.864
2.242226,-0.1045,-0.8489,-0.0302,0.856
2.252752,-0.1037,-0.8386,-0.0301,0.845
2.263305,-0.1026,-0.8264,-0.0299,0.833
2.277537,-0.1018,-0.8163,-0.0294,0.823
2.283256,-0.1002,-0.8006,-0.0286,0.807
2.292424,-0.0989,-0.7887,-0.0283,0.795
2.303134,-0.0980,-0.7761,-0.0279,0.783
2.313370,-0.0969,-0.7641,-0.0273,0.771
2.322974,-0.0954,-0.7502,-0.0267,0.757
2.334195,-0.0934,-0.7376,-0.0262,0.744
2.343118,-0.0921,-0.7305,-0.0261,0.737
2.353864,-0.0903,-0.7268,-0.0262,0.733
2.363627,-0.0886,-0.7230,-0.0264,0.729
2.374325,-0.0881,-0.7192,-0.0264,0.725
2.384448,-0.0879,-0.7146,-0.0264,0.720
2.394623,-0.0887,-0.7155,-0.0263,0.721
2.404643,-0.0909,-0.7229,-0.0264,0.729
2.414241,-0.0925,-0.7245,-0.0263,0.731
2.424359,-0.0937,-0.7292,-0.0267,0.736
2.435124,-0.0941,-0.7333,-0.0268,0.740
2.445004,-0.0943,-0.7350,-0.0272,0.742
2.455991,-0.0941,-0.7403,-0.0274,0.747
2.465704,-0.0947,-0.7486,-0.0278,0.755
2.475240,-0.0960,-0.7579,-0.0283,0.764
2.485458,-0.0973,-0.7672,-0.0290,0.774
2.495401,-0.0991,-0.7803,-0.0296,0.787
2.506047,-0.0997,-0.7909,-0.0303,0.798
2.515860,-0.1000,-0.8020,-0.0307,0.809
2.525628,-0.1006,-0.8103,-0.0311,0.817
2.536483,-0.1016,-0.8178,-0.0315,0.825
2.546417,-0.1013,-0.8183,-0.0316,0.825
2.555955,-0.1009,-0.8121,-0.0313,0.819
2.566682,-0.0993,-0.8008,-0.0309,0.808
2.576184,-0.0958,-0.7861,-0.0304,0.793
2.588734,-0.0905,-0.7608,-0.0295,0.767
2.596537,-0.0846,-0.7320,-0.0284,0.737
2.606778,-0.0799,-0.7106,-0.0275,0.716
2.617635,-0.0771,-0.6949,-0.0270,0.700
2.627281,-0.0766,-0.6843,-0.0266,0.689
2.637756,-0.0782,-0.6787,-0.0264,0.684
2.647347,-0.0809,-0.6805,-0.0262,0.686
2.657843,-0.0852,-0.6931,-0.0265,0.699
2.667929,-0.0887,-0.7052,-0.0269,0.711
2.677781,-0.0915,-0.7184,-0.0276,0.725
2.691097,-0.0941,-0.7347,-0.0283,0.741
2.698428,-0.0953,-0.7419,-0.0286,0.749
2.708105,-0.0966,-0.7489,-0.0290,0.756
2.718985,-0.0975,-0.7520,-0.0289,0.759
2.728134,-0.0976,-0.7517,-0.0290,0.759
2.739018,-0.0982,-0.7555,-0.0289,0.762
2.749455,-0.0994,-0.7577,-0.0291,0.765
2.758670,-0.1005,-0.7604,-0.0290,0.768
2.769215,-0.1021,-0.7668,-0.0293,0.774
2.779541,-0.1046,-0.7738,-0.0295,0.781
2.789571,-0.1088,-0.7871,-0.0299,0.795
2.799816,-0.1141,-0.8080,-0.0307,0.817
2.810283,-0.1179,-0.8174,-0.0310,0.826
2.824094,-0.1207,-0.8291,-0.0312,0.838
2.830112,-0.1207,-0.8291,-0.0312,0.838
2.840284,-0.1180,-0.8223,-0.0311,0.831
2.849631,-0.1129,-0.8130,-0.0310,0.821
2.860291,-0.1071,-0.7955,-0.0304,0.803
2.871150,-0.1023,-0.7764,-0.0293,0.784
2.881323,-0.0986,-0.7623,-0.0285,0.769
2.890852,-0.0957,-0.7442,-0.0275,0.751
2.900883,-0.0940,-0.7332,-0.0270,0.740
2.910744,-0.0940,-0.7284,-0.0267,0.735
2.920654,-0.0962,-0.7382,-0.0274,0.745
2.931332,-0.0994,-0.7536,-0.0279,0.761
2.941551,-0.1016,-0.7633,-0.0286,0.771
2.953799,-0.1031,-0.7725,-0.0289,0.780
2.961896,-0.1031,-0.7724,-0.0290,0.780
2.973920,-0.1017,-0.7655,-0.0287,0.773
2.981936,-0.0999,-0.7595,-0.0286,0.767
2.992002,-0.0989,-0.7617,-0.0285,0.769
3.002473,-0.0984,-0.7628,-0.0284,0.770
3.012428,-0.0984,-0.7677,-0.0286,0.774
3.022270,-0.0991,-0.7732,-0.0290,0.780
3.032990,-0.1008,-0.7842,-0.0295,0.791
3.042299,-0.1022,-0.7912,-0.0298,0.798
3.052511,-0.1038,-0.7952,-0.0300,0.803
3.063441,-0.1034,-0.7911,-0.0300,0.798
3.073598,-0.1031,-0.7940,-0.0303,0.801
3.083234,-0.1022,-0.7887,-0.0299,0.796
3.093311,-0.1008,-0.7864,-0.0300,0.793
3.105921,-0.1004,-0.7849,-0.0298,0.792
3.113912,-0.1019,-0.7940,-0.0301,0.801
3.123880,-0.1012,-0.7881,-0.0298,0.795
3.133978,-0.1011,-0.7883,-0.0300,0.795
3.143986,-0.1004,-0.7849,-0.0296,0.792
3.154195,-0.0998,-0.7814,-0.0296,0.788
3.164473,-0.1008,-0.7842,-0.0295,0.791
3.174268,-0.1022,-0.7889,-0.0294,0.796
3.185039,-0.1031,-0.7920,-0.0292,0.799
3.195349,-0.1027,-0.7879,-0.0293,0.795
3.204794,-0.1015,-0.7805,-0.0292,0.788
3.214372,-0.0995,-0.7700,-0.0290,0.777
3.224770,-0.0968,-0.7563,-0.0283,0.763
3.238719,-0.0930,-0.7351,-0.0274,0.741
3.245516,-0.0914,-0.7289,-0.0270,0.735
3.255901,-0.0901,-0.7220,-0.0267,0.728
3.266310,-0.0909,-0.7204,-0.0266,0.727
3.275439,-0.0917,-0.7163,-0.0263,0.723
3.286466,-0.0929,-0.7183,-0.0268,0.725
3.295829,-0.0946,-0.7222,-0.0268,0.729
3.305961,-0.0955,-0.7225,-0.0266,0.729
3.316088,-0.0943,-0.7129,-0.0261,0.720
3.326976,-0.0931,-0.7084,-0.0259,0.715
3.336197,-0.0911,-0.6956,-0.0251,0.702
3.346979,-0.0905,-0.6870,-0.0249,0.693
3.356471,-0.0909,-0.6837,-0.0245,0.690
3.371845,-0.0906,-0.6817,-0.0247,0.688
3.377341,-0.0917,-0.6864,-0.0251,0.693
3.386782,-0.0923,-0.6900,-0.0255,0.697
3.397818,-0.0936,-0.6942,-0.0258,0.701
3.407972,-0.0954,-0.7025,-0.0262,0.709
3.417595,-0.0969,-0.7115,-0.0265,0.719
3.427854,-0.0982,-0.7160,-0.0268,0.723
3.437912,-0.1007,-0.7329,-0.0275,0.740
3.448701,-0.1029,-0.7454,-0.0280,0.753
3.457928,-0.1047,-0.7540,-0.0283,0.762
3.468025,-0.1068,-0.7670,-0.0285,0.775
3.478568,-0.1090,-0.7771,-0.0289,0.785
3.487999,-0.1114,-0.7870,-0.0290,0.795
3.500027,-0.1132,-0.7929,-0.0295,0.801
3.509501,-0.1146,-0.7996,-0.0301,0.808
