time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002230,-0.0232,-0.3030,-0.2385,0.386
0.008451,-0.0262,-0.3175,-0.2483,0.404
0.028913,-0.0290,-0.3290,-0.2559,0.418
0.029668,-0.0337,-0.3491,-0.2712,0.443
0.038716,-0.0408,-0.3832,-0.2981,0.487
0.050024,-0.0484,-0.4139,-0.3220,0.527
0.059586,-0.0552,-0.4405,-0.3428,0.561
0.069239,-0.0607,-0.4598,-0.3595,0.587
0.079739,-0.0644,-0.4724,-0.3710,0.604
0.089252,-0.0667,-0.4835,-0.3819,0.620
0.102533,-0.0684,-0.4926,-0.3911,0.633
0.109582,-0.0692,-0.4968,-0.3964,0.639
0.120221,-0.0679,-0.4860,-0.3902,0.627
0.130689,-0.0692,-0.4760,-0.3857,0.617
0.140083,-0.0721,-0.4566,-0.3728,0.594
0.150398,-0.0714,-0.4389,-0.3608,0.573
0.161095,-0.0710,-0.4275,-0.3538,0.559
0.170268,-0.0701,-0.4226,-0.3517,0.554
0.180987,-0.0722,-0.4277,-0.3590,0.563
0.191148,-0.0750,-0.4339,-0.3677,0.574
0.201683,-0.0776,-0.4313,-0.3691,0.573
0.211774,-0.0811,-0.4267,-0.3682,0.569
0.221328,-0.0845,-0.4200,-0.3642,0.562
0.233177,-0.0865,-0.4148,-0.3601,0.556
0.242104,-0.0863,-0.4050,-0.3509,0.543
0.251834,-0.0864,-0.3968,-0.3431,0.532
0.261819,-0.0870,-0.3885,-0.3363,0.521
0.276977,-0.0911,-0.3915,-0.3385,0.525
0.282512,-0.0965,-0.3950,-0.3422,0.531
0.292287,-0.1018,-0.3948,-0.3424,0.532
0.302675,-0.1134,-0.4179,-0.3610,0.564
0.312742,-0.1229,-0.4340,-0.3751,0.587
0.322521,-0.1288,-0.4388,-0.3811,0.595
0.332874,-0.1323,-0.4379,-0.3828,0.596
0.342990,-0.1355,-0.4377,-0.3860,0.599
0.353336,-0.1386,-0.4360,-0.3877,0.600
0.363070,-0.1405,-0.4340,-0.3892,0.600
0.374288,-0.1417,-0.4314,-0.3909,0.599
0.393480,-0.1410,-0.4253,-0.3892,0.593
0.394937,-0.1389,-0.4192,-0.3870,0.587
0.403964,-0.1353,-0.4142,-0.3855,0.582
0.413923,-0.1301,-0.4069,-0.3810,0.572
0.424340,-0.1261,-0.4020,-0.3797,0.567
0.434343,-0.1202,-0.3893,-0.3712,0.551
0.444202,-0.1125,-0.3695,-0.3559,0.525
0.454217,-0.1040,-0.3468,-0.3382,0.495
0.465300,-0.0966,-0.3259,-0.3210,0.468
0.474855,-0.0883,-0.3025,-0.3008,0.436
0.485684,-0.0801,-0.2804,-0.2804,0.405
0.495339,-0.0726,-0.2599,-0.2614,0.376
0.505325,-0.0604,-0.2210,-0.2248,0.321
0.515224,-0.0524,-0.1947,-0.1999,0.284
0.525914,-0.0516,-0.1933,-0.1998,0.283
0.535714,-0.0529,-0.1982,-0.2065,0.291
0.546286,-0.0543,-0.2028,-0.2132,0.299
0.559510,-0.0554,-0.2066,-0.2194,0.306
0.565872,-0.0560,-0.2074,-0.2225,0.309
0.576655,-0.0561,-0.2066,-0.2241,0.310
0.585623,-0.0557,-0.2034,-0.2233,0.307
0.596390,-0.0553,-0.1988,-0.2214,0.303
0.606516,-0.0555,-0.1952,-0.2207,0.300
0.616695,-0.0548,-0.1902,-0.2182,0.295
0.626746,-0.0536,-0.1855,-0.2159,0.290
0.637418,-0.0511,-0.1794,-0.2113,0.282
0.647224,-0.0481,-0.1742,-0.2071,0.275
0.657771,-0.0447,-0.1700,-0.2031,0.269
0.667684,-0.0427,-0.1741,-0.2079,0.275
0.677614,-0.0415,-0.1827,-0.2167,0.286
0.692695,-0.0425,-0.2045,-0.2404,0.318
0.697598,-0.0413,-0.2166,-0.2529,0.336
0.707991,-0.0407,-0.2314,-0.2691,0.357
0.717932,-0.0387,-0.2404,-0.2790,0.370
0.728320,-0.0357,-0.2452,-0.2841,0.377
0.738384,-0.0308,-0.2368,-0.2745,0.364
0.748457,-0.0261,-0.2280,-0.2642,0.350
0.758839,-0.0220,-0.2193,-0.2537,0.336
0.768855,-0.0181,-0.2092,-0.2409,0.320
0.779718,-0.0149,-0.2011,-0.2302,0.306
0.789523,-0.0124,-0.2012,-0.2276,0.304
0.798908,-0.0099,-0.2018,-0.2252,0.303
0.809768,-0.0074,-0.2010,-0.2212,0.299
0.825707,-0.0051,-0.2014,-0.2188,0.297
0.829582,-0.0032,-0.2026,-0.2172,0.297
0.839205,-0.0021,-0.2067,-0.2190,0.301
0.849286,-0.0016,-0.2138,-0.2248,0.310
0.859525,-0.0017,-0.2254,-0.2360,0.326
0.869976,-0.0022,-0.2312,-0.2426,0.335
0.879538,-0.0027,-0.2314,-0.2445,0.337
0.891444,-0.0035,-0.2172,-0.2320,0.318
0.899733,-0.0036,-0.2120,-0.2280,0.311
0.910517,-0.0033,-0.2005,-0.2167,0.295
