time,wx (rad/s),wy (rad/s),wz (rad/s)
0.003508,0.21,0.10,-0.14
0.004544,0.32,0.10,-0.10
0.005010,0.37,0.09,-0.05
0.008491,0.39,0.08,-0.00
0.024308,0.40,0.07,0.04
0.029129,0.40,0.06,0.06
0.039486,0.38,0.06,0.06
0.049296,0.36,0.07,0.03
0.060176,0.35,0.09,-0.01
0.070346,0.34,0.10,-0.05
0.090969,0.34,0.10,-0.07
0.091716,0.35,0.09,-0.07
0.101132,0.35,0.08,-0.07
0.111314,0.35,0.06,-0.06
0.121135,0.35,0.05,-0.04
0.131676,0.34,0.04,-0.02
0.142289,0.33,0.04,0.01
0.151630,0.24,0.02,0.02
0.162423,0.21,0.03,0.03
0.172491,0.19,0.03,0.04
0.183414,0.10,0.02,0.02
0.192989,0.05,0.01,0.01
0.203182,0.02,0.00,0.00
0.223729,0.08,0.06,-0.00
0.224534,0.11,0.09,-0.01
0.234251,0.18,0.04,-0.00
0.244555,0.22,0.01,-0.00
0.254678,0.11,0.01,-0.00
0.264882,0.13,-0.01,-0.00
0.275744,0.14,-0.01,-0.00
0.285525,0.07,-0.01,-0.00
0.296411,0.12,0.01,-0.04
0.305833,0.15,0.02,-0.06
0.316108,0.18,0.02,-0.08
0.327716,0.19,0.02,-0.08
0.336159,0.21,0.02,-0.09
0.347216,0.21,0.01,-0.10
0.357978,0.21,0.02,-0.09
0.372496,0.22,0.03,-0.09
0.378772,0.21,0.04,-0.06
0.387858,0.21,0.04,-0.04
0.397945,0.21,0.03,-0.02
0.408592,0.21,0.03,-0.01
0.418954,0.22,0.01,0.00
0.428745,0.22,0.01,0.00
0.438905,0.22,-0.00,0.00
0.449541,0.22,-0.01,0.01
0.460369,0.22,-0.03,0.01
0.470144,0.21,-0.04,0.02
0.480150,0.20,-0.04,0.03
0.490888,0.20,-0.04,0.04
0.504847,0.19,-0.04,0.07
0.511620,0.18,-0.04,0.08
0.522294,0.17,-0.03,0.09
0.531474,0.16,-0.03,0.10
0.541966,0.14,-0.02,0.09
0.552489,0.13,-0.02,0.08
0.564131,0.12,-0.04,0.07
0.573419,0.12,-0.05,0.06
0.582824,0.11,-0.06,0.04
0.594843,0.10,-0.07,0.03
0.603884,0.05,-0.04,0.02
0.613033,0.09,-0.05,0.00
0.624279,0.10,-0.06,-0.00
0.637700,0.05,-0.03,-0.00
0.644151,0.10,-0.03,-0.01
0.654282,0.12,-0.03,-0.02
0.664456,0.06,-0.02,-0.01
0.675605,0.13,-0.01,0.01
0.685786,0.17,-0.01,0.01
0.695881,0.09,-0.00,0.01
0.705781,0.13,-0.02,0.06
0.715969,0.15,-0.02,0.08
0.726877,0.12,-0.04,0.10
0.736253,0.11,-0.05,0.11
0.746901,0.10,-0.06,0.14
0.757226,0.09,-0.07,0.15
0.769989,0.09,-0.06,0.16
0.777112,0.09,-0.06,0.16
0.787819,0.08,-0.07,0.15
0.798156,0.08,-0.07,0.15
0.808496,0.07,-0.07,0.14
0.818822,0.07,-0.07,0.13
0.828610,0.06,-0.07,0.11
0.840099,0.06,-0.07,0.10
0.849574,0.04,-0.09,0.09
0.859657,0.03,-0.09,0.08
0.869874,0.02,-0.05,0.04
0.880287,0.01,-0.02,0.02
0.891100,-0.05,-0.05,0.03
0.900756,-0.08,-0.06,0.04
0.912939,-0.04,-0.03,0.02
0.920978,-0.14,-0.04,0.03
0.931697,-0.34,-0.05,0.05
0.942838,-0.53,-0.03,0.06
0.952446,-0.71,-0.01,0.06
0.962767,-0.85,-0.01,0.06
0.973263,-0.92,-0.02,0.06
0.983336,-0.94,-0.02,0.06
0.992671,-0.91,-0.03,0.05
1.004759,-0.81,-0.03,0.05
1.013375,-0.66,-0.03,0.05
1.024289,-0.42,-0.03,0.04
1.034584,-0.22,-0.01,0.02
1.046173,-0.08,-0.05,0.04
1.054709,-0.01,-0.07,0.05
1.064324,0.10,-0.07,0.04
1.075530,0.15,-0.07,0.04
1.085509,0.19,-0.07,0.03
1.095563,0.20,-0.07,0.02
1.106102,0.21,-0.06,0.02
1.116690,0.21,-0.06,0.02
1.126500,0.22,-0.08,0.02
1.137402,0.23,-0.08,0.02
1.147027,0.23,-0.09,0.02
1.162250,0.24,-0.09,0.03
1.167324,0.24,-0.08,0.03
1.177463,0.25,-0.07,0.03
1.188447,0.24,-0.09,0.04
1.198317,0.24,-0.09,0.04
1.208394,0.24,-0.10,0.04
1.219468,0.24,-0.11,0.04
1.228757,0.24,-0.11,0.04
1.239324,0.24,-0.10,0.04
1.248993,0.22,-0.09,0.05
1.259239,0.22,-0.08,0.05
1.269566,0.20,-0.08,0.05
1.279722,0.20,-0.07,0.06
1.291339,0.19,-0.09,0.05
1.300603,0.19,-0.09,0.05
1.311222,0.19,-0.10,0.04
1.320847,0.19,-0.11,0.03
1.331088,0.18,-0.12,0.02
1.341579,0.17,-0.13,0.01
1.351993,0.16,-0.13,-0.00
1.362232,0.14,-0.13,-0.01
1.373247,0.14,-0.12,-0.02
1.383509,0.14,-0.12,-0.02
1.392841,0.14,-0.11,-0.03
1.403601,0.14,-0.11,-0.04
1.412981,0.13,-0.10,-0.05
1.423524,0.12,-0.10,-0.05
1.434727,0.11,-0.10,-0.05
1.444423,0.11,-0.09,-0.06
1.455173,0.05,-0.05,-0.03
1.464816,0.09,-0.10,-0.04
1.474635,0.11,-0.12,-0.04
1.485574,0.09,-0.12,-0.02
1.495959,0.07,-0.12,-0.01
1.506874,0.04,-0.06,-0.00
1.516140,0.06,-0.09,0.01
1.526193,0.07,-0.11,0.01
1.537148,0.04,-0.06,0.01
1.547589,0.02,-0.03,0.00
1.556679,0.06,-0.09,0.00
1.568275,0.07,-0.13,0.00
1.577238,0.05,-0.12,0.02
1.588046,0.04,-0.12,0.03
1.599269,0.04,-0.10,0.05
1.608111,0.04,-0.09,0.05
1.619320,0.02,-0.05,0.03
1.628683,0.01,-0.02,0.01
1.638937,0.04,-0.06,0.02
1.649303,0.06,-0.08,0.03
1.659341,0.03,-0.04,0.01
1.670622,0.01,-0.02,0.01
1.680477,0.06,-0.07,0.00
1.689973,0.09,-0.09,0.00
1.701673,0.04,-0.05,0.00
1.710829,0.07,-0.07,0.00
1.726136,0.09,-0.09,0.00
1.731932,0.04,-0.04,0.00
1.741187,0.02,-0.02,0.00
1.752435,0.01,-0.01,0.00
1.761962,0.07,-0.07,-0.00
1.772019,0.09,-0.09,-0.00
1.782477,0.05,-0.05,-0.00
1.792600,0.02,-0.02,-0.00
1.804807,0.01,-0.01,-0.00
1.813442,0.04,-0.07,-0.04
1.823827,0.05,-0.11,-0.06
1.835038,0.03,-0.05,-0.03
1.844576,0.01,-0.03,-0.01
1.858752,0.01,-0.01,-0.01
1.864954,0.00,-0.01,-0.00
1.875095,0.00,-0.00,-0.00
1.885153,0.03,-0.08,-0.01
1.895952,0.05,-0.12,-0.02
1.905535,0.02,-0.06,-0.01
1.916015,0.01,-0.03,-0.00
1.925845,0.06,-0.06,-0.05
1.937605,0.08,-0.07,-0.07
1.947070,0.04,-0.04,-0.03
1.956363,0.02,-0.02,-0.02
1.967481,0.06,-0.07,-0.01
1.977988,0.08,-0.09,-0.01
1.991054,0.04,-0.05,-0.00
1.998392,0.02,-0.02,-0.00
2.008154,0.01,-0.01,-0.00
2.018564,0.04,-0.05,-0.05
2.028953,0.06,-0.07,-0.07
2.038447,0.03,-0.04,-0.04
2.049858,0.02,-0.02,-0.02
2.059226,0.01,-0.01,-0.01
2.070312,0.00,-0.00,-0.00
2.080641,0.02,-0.07,-0.04
2.089756,0.03,-0.11,-0.06
2.100886,0.01,-0.06,-0.03
2.110706,0.01,-0.03,-0.02
2.123577,0.00,-0.01,-0.01
2.131515,0.00,-0.01,-0.00
2.141209,0.01,-0.09,-0.05
2.152837,0.01,-0.12,-0.07
2.161784,0.01,-0.06,-0.04
2.171879,0.00,-0.03,-0.02
2.183210,0.00,-0.02,-0.01
2.193282,0.00,-0.01,-0.00
2.203216,0.05,-0.04,-0.03
2.213758,0.08,-0.05,-0.04
2.223997,0.04,-0.03,-0.02
2.235384,0.02,-0.01,-0.01
2.244435,0.01,-0.01,-0.00
2.254941,0.00,-0.00,-0.00
2.265376,0.00,-0.00,-0.00
2.275610,0.00,-0.00,-0.00
2.285207,0.00,-0.00,-0.00
2.295715,0.00,-0.00,-0.00
2.305736,0.00,-0.00,-0.00
2.316170,0.00,-0.00,-0.00
2.327038,0.02,-0.04,-0.07
2.336290,0.03,-0.06,-0.11
2.347712,0.02,-0.03,-0.06
2.357246,0.01,-0.02,-0.03
2.371743,0.00,-0.01,-0.01
2.377798,0.00,-0.00,-0.01
2.388209,0.00,-0.00,-0.00
2.398720,0.00,-0.00,-0.00
2.408493,0.00,-0.00,-0.00
2.418387,0.03,-0.04,-0.09
2.430101,0.04,-0.06,-0.13
2.440185,0.02,-0.03,-0.07
2.451006,0.06,-0.05,-0.09
