time,wx (rad/s),wy (rad/s),wz (rad/s)
0.002428,-0.10,-0.47,0.44
0.012864,-0.09,-0.48,0.44
0.029552,-0.08,-0.48,0.44
0.044063,-0.06,-0.48,0.44
0.045009,-0.04,-0.45,0.42
0.060769,-0.01,-0.40,0.37
0.063730,0.06,-0.33,0.30
0.076293,0.16,-0.28,0.24
0.094446,0.26,-0.25,0.21
0.095061,0.33,-0.22,0.18
0.110793,0.36,-0.19,0.15
0.126090,0.35,-0.14,0.12
0.126725,0.31,-0.08,0.08
0.144531,0.21,-0.03,0.04
0.145261,0.13,0.06,-0.01
0.161058,0.06,0.17,-0.06
0.182283,-0.01,0.22,-0.09
0.182938,-0.03,0.27,-0.12
0.193079,-0.01,0.31,-0.13
0.209026,0.01,0.33,-0.14
0.209859,0.04,0.34,-0.14
0.227153,0.05,0.33,-0.13
0.227899,0.04,0.30,-0.10
0.242343,0.02,0.21,-0.06
0.260208,-0.01,0.18,-0.04
0.260911,-0.04,0.16,-0.03
0.277586,-0.12,0.09,0.01
0.278348,-0.24,0.03,0.05
0.292653,-0.28,-0.01,0.08
0.310116,-0.30,-0.04,0.10
0.311141,-0.29,-0.06,0.11
0.325486,-0.26,-0.08,0.10
0.343768,-0.18,-0.06,0.07
0.344572,-0.16,-0.09,0.08
0.358532,-0.15,-0.10,0.08
0.360608,-0.13,-0.12,0.10
0.377791,-0.17,-0.17,0.14
0.381262,-0.19,-0.16,0.13
0.391747,-0.21,-0.16,0.13
0.402223,-0.22,-0.16,0.13
0.413915,-0.22,-0.15,0.13
0.422416,-0.20,-0.14,0.11
0.433014,-0.15,-0.09,0.08
0.442755,-0.16,-0.06,0.07
0.457269,-0.23,-0.04,0.09
0.463394,-0.27,0.00,0.07
0.473619,-0.34,0.03,0.06
0.483876,-0.43,0.03,0.06
0.494330,-0.52,0.01,0.07
0.504721,-0.56,-0.02,0.07
0.515464,-0.57,-0.04,0.07
0.524540,-0.56,-0.05,0.07
0.535102,-0.56,-0.06,0.06
0.545919,-0.58,-0.09,0.07
0.556196,-0.64,-0.13,0.09
0.566545,-0.71,-0.17,0.11
0.576679,-0.79,-0.21,0.13
0.586916,-0.84,-0.22,0.13
0.596556,-0.87,-0.22,0.13
0.607369,-0.88,-0.18,0.10
0.617335,-0.88,-0.13,0.07
0.628760,-0.88,-0.08,0.05
0.637808,-0.89,-0.02,0.03
0.648275,-0.92,0.02,0.03
0.657872,-0.96,0.07,0.02
0.668149,-1.02,0.19,-0.02
0.678918,-1.10,0.45,-0.14
0.689093,-1.14,0.80,-0.32
0.699185,-1.05,1.08,-0.44
0.709741,-0.86,1.14,-0.42
0.719954,-0.66,1.02,-0.31
0.739536,-0.54,0.82,-0.17
0.740754,-0.47,0.64,-0.06
0.750826,-0.41,0.56,-0.01
0.762035,-0.33,0.57,-0.01
0.771180,-0.25,0.61,-0.03
0.780997,-0.20,0.61,-0.04
0.792108,-0.17,0.53,-0.01
0.801649,-0.12,0.36,0.00
0.812324,-0.07,0.26,0.04
0.822782,-0.05,0.21,0.06
0.832157,-0.02,0.11,0.03
0.844751,-0.01,0.05,0.01
0.853579,-0.15,-0.01,0.08
0.863577,-0.40,-0.07,0.11
0.873256,-0.58,-0.09,0.04
0.884665,-0.69,-0.09,-0.00
0.893976,-0.75,-0.10,-0.03
0.904787,-0.78,-0.12,-0.05
