time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.0,-5.6931,5.1617,-1.8272,7.899
0.01060099999999986,-5.0928,2.4898,-4.6687,7.344
0.020515999999999757,-4.019,0.8079,-5.0739,6.523
0.030934999999999935,-3.2194,-0.0447,-4.6773,5.678
0.0412659999999998,-2.6362,-0.5185,-4.0542,4.864
0.05081699999999989,-2.1077,-0.7223,-3.3128,3.992
0.06096699999999977,-1.5963,-0.7342,-2.5449,3.093
0.07099499999999992,-1.1014,-0.6125,-1.8212,2.215
0.08104299999999975,-0.6566,-0.4054,-1.1139,1.355
0.09144099999999966,-0.2284,-0.147,-0.3941,0.479
0.10186299999999981,0.2028,0.1306,0.3521,0.427
0.11146999999999974,0.6474,0.4051,1.1156,1.352
0.12196099999999976,1.1336,0.6746,1.9337,2.341
0.13169699999999995,1.6956,0.9327,2.8369,3.434
0.14227299999999987,2.4018,1.1799,3.9352,4.759
0.15269299999999975,3.2694,1.3955,5.2568,6.346
0.1672769999999999,4.2312,1.5604,6.6749,8.056
0.17308499999999993,5.1646,1.6756,8.0098,9.677
0.18210299999999968,5.9845,1.7533,9.2617,11.165
0.19264599999999987,6.7122,1.8155,10.4108,12.519
0.20283099999999976,7.4016,1.8697,11.5093,13.811
0.21343699999999988,8.0784,1.9111,12.5991,15.088
0.223846,8.7588,1.9272,13.7494,16.416
0.23362399999999983,9.4311,1.8976,14.9855,17.808
0.2431429999999999,10.1145,1.7907,16.2268,19.205
0.25319199999999986,10.813,1.6078,17.3777,20.53
0.2634869999999996,11.4563,1.3728,18.2321,21.576
0.2745719999999996,11.9598,1.1368,18.782,22.296
0.2842229999999999,12.2431,0.9079,18.9861,22.61
0.29421399999999975,12.2812,0.6839,19.0055,22.639
0.30374999999999996,12.0625,0.4592,18.8431,22.378
0.314006,11.6357,0.2434,18.6133,21.952
0.3244069999999999,10.9191,0.0431,18.1143,21.151
0.334244,10.0378,-0.1218,17.111,19.838
0.34609599999999974,8.9751,-0.2347,15.6995,18.085
0.35532799999999964,7.6954,-0.2887,13.8567,15.853
0.36506099999999986,6.2941,-0.3095,11.8091,13.385
0.37531599999999976,4.9035,-0.353,9.5985,10.784
0.38549299999999986,3.6067,-0.4141,7.2776,8.133
0.3960499999999998,2.3748,-0.4479,4.9396,5.499
0.4054739999999999,1.2201,-0.385,2.66,2.952
0.41537999999999986,0.1826,-0.1015,0.4291,0.477
0.4253,-0.6032,0.6483,-1.6249,1.851
0.43567199999999984,-0.8152,2.24,-3.084,3.898
0.4475009999999999,0.1757,4.3861,-2.6797,5.143
0.4561169999999999,1.666,4.7241,-0.313,5.019
0.46600699999999984,1.858,3.1598,0.9934,3.798
0.4769389999999998,1.2517,1.7238,1.0024,2.354
0.48675199999999963,0.5486,0.6822,0.5148,1.016
0.49640499999999976,-0.0708,-0.0844,-0.074,0.133
0.5070769999999998,-0.5555,-0.6587,-0.6372,1.072
