time,wx (rad/s),wy (rad/s),wz (rad/s)
0.0,-2.61,-0.38,-7.86
0.010650999999999744,-3.0,-0.14,-6.65
0.020998999999999768,-2.89,0.18,-4.64
0.031235000000000124,-2.39,0.39,-2.53
0.04111299999999973,-1.52,0.4,-0.66
0.051419000000000104,-0.68,0.31,0.52
0.06206899999999971,-0.02,0.21,1.21
0.07265199999999972,0.46,0.18,1.6
0.08230000000000004,0.78,0.2,1.79
0.09250899999999973,1.01,0.24,1.81
0.10283199999999981,1.17,0.27,1.7
0.11242200000000002,1.29,0.29,1.56
0.1225959999999997,1.37,0.3,1.44
0.13290899999999972,1.4,0.31,1.34
0.14353099999999985,1.38,0.3,1.25
0.15885999999999978,1.28,0.31,1.17
0.16434099999999985,1.13,0.33,1.14
0.1746620000000001,0.9,0.39,1.17
0.18474199999999996,0.62,0.45,1.29
0.19492399999999988,0.33,0.51,1.46
0.20599199999999973,0.1,0.52,1.64
0.21563799999999977,-0.06,0.49,1.79
0.225692,-0.17,0.44,1.9
0.2365689999999998,-0.26,0.37,1.96
0.24665800000000004,-0.37,0.31,2.02
0.25643400000000005,-0.49,0.25,2.1
0.2673049999999999,-0.59,0.19,2.2
0.2773620000000001,-0.65,0.12,2.33
0.29087299999999994,-0.65,0.02,2.46
0.29740699999999975,-0.57,-0.09,2.57
0.307623,-0.44,-0.21,2.65
0.31861799999999985,-0.28,-0.32,2.73
0.32792299999999974,-0.17,-0.41,2.86
0.33828900000000006,-0.15,-0.46,3.05
0.34867899999999974,-0.26,-0.49,3.17
0.35906400000000005,-0.53,-0.48,3.48
0.3694949999999997,-1.04,-0.44,3.86
0.3796759999999999,-2.0,-0.33,4.38
0.39040300000000006,-3.65,-0.08,5.07
0.3994550000000001,-6.01,0.34,5.87
0.40965399999999974,-8.86,0.96,6.64
0.42576100000000006,-11.65,1.79,7.17
0.4305439999999998,-13.51,2.73,7.23
0.4406080000000001,-13.7,3.55,6.7
0.45115799999999995,-12.15,4.05,5.67
0.46124300000000007,-9.42,4.07,4.37
0.4713020000000001,-6.16,3.59,2.99
0.4820319999999998,-2.99,2.75,1.65
0.49225399999999997,0.3,1.37,0.32
