time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.0,-0.0946,-0.8145,-0.0296,0.821
0.000987,-0.0953,-0.8157,-0.0296,0.822
0.010414,-0.0951,-0.816,-0.0296,0.822
0.027777,-0.0935,-0.8074,-0.0289,0.813
0.030382000000000003,-0.0928,-0.7949,-0.0285,0.801
0.040784,-0.0925,-0.7884,-0.0286,0.794
0.051030000000000006,-0.0925,-0.7815,-0.0284,0.787
0.061468999999999996,-0.0924,-0.7795,-0.0281,0.785
0.07184299999999999,-0.0923,-0.7748,-0.0282,0.781
0.08229199999999999,-0.0923,-0.7747,-0.0285,0.781
0.091794,-0.0902,-0.7642,-0.0285,0.77
0.101431,-0.0839,-0.7293,-0.0271,0.735
0.112047,-0.0778,-0.6968,-0.0257,0.702
0.122012,-0.0707,-0.6569,-0.0242,0.661
0.132389,-0.0669,-0.639,-0.0234,0.643
0.142427,-0.0656,-0.6322,-0.0233,0.636
0.152664,-0.0658,-0.6205,-0.0227,0.624
0.162542,-0.068,-0.6205,-0.0229,0.625
0.176149,-0.0716,-0.6271,-0.0231,0.632
0.182602,-0.0749,-0.634,-0.0236,0.639
0.192582,-0.0775,-0.645,-0.0241,0.65
0.203283,-0.0799,-0.6567,-0.0246,0.662
0.215025,-0.0818,-0.6648,-0.0247,0.67
0.223725,-0.0832,-0.669,-0.0248,0.675
0.233689,-0.084,-0.6744,-0.025,0.68
0.243569,-0.0842,-0.6765,-0.0251,0.682
0.253565,-0.085,-0.6869,-0.0255,0.693
0.2647,-0.0842,-0.6863,-0.0253,0.692
0.274083,-0.0823,-0.6832,-0.0252,0.689
0.283715,-0.0808,-0.684,-0.0251,0.689
0.294684,-0.0815,-0.7015,-0.0257,0.707
0.308785,-0.0834,-0.7213,-0.0264,0.727
0.31474599999999997,-0.0893,-0.7521,-0.0276,0.758
0.324208,-0.0984,-0.8008,-0.0296,0.807
0.334725,-0.1046,-0.8318,-0.0309,0.839
0.34459,-0.1087,-0.8529,-0.0315,0.86
0.355585,-0.1118,-0.8778,-0.0326,0.885
0.364796,-0.1113,-0.8857,-0.0326,0.893
0.37488,-0.1092,-0.8891,-0.0325,0.896
0.38515699999999997,-0.1075,-0.8965,-0.0325,0.903
0.39570099999999997,-0.1064,-0.896,-0.0321,0.903
0.405746,-0.1061,-0.8967,-0.0314,0.904
0.415733,-0.1072,-0.902,-0.0312,0.909
0.42597999999999997,-0.1085,-0.9046,-0.0311,0.912
0.436363,-0.1089,-0.9043,-0.0307,0.911
0.457889,-0.1082,-0.8963,-0.0302,0.903
0.459079,-0.1058,-0.8796,-0.0298,0.886
0.466487,-0.1041,-0.8663,-0.0295,0.873
0.476457,-0.1036,-0.8603,-0.029,0.867
0.486443,-0.1042,-0.8502,-0.0287,0.857
0.496762,-0.1042,-0.834,-0.028,0.841
0.5071730000000001,-0.105,-0.8256,-0.0277,0.833
0.517201,-0.1054,-0.8153,-0.0276,0.823
0.527598,-0.106,-0.812,-0.027,0.819
0.5373150000000001,-0.1071,-0.8147,-0.0272,0.822
0.5470830000000001,-0.1091,-0.8179,-0.0272,0.826
0.557435,-0.1112,-0.8211,-0.0272,0.829
0.567651,-0.1139,-0.8231,-0.0272,0.831
0.5784450000000001,-0.1161,-0.821,-0.0271,0.83
0.591851,-0.1164,-0.8128,-0.0265,0.822
0.5984900000000001,-0.1156,-0.8021,-0.026,0.811
0.608233,-0.1149,-0.7961,-0.0261,0.805
0.6180910000000001,-0.1117,-0.7802,-0.0259,0.789
0.629603,-0.1102,-0.776,-0.0261,0.784
0.6391290000000001,-0.111,-0.7791,-0.0263,0.787
0.648823,-0.1135,-0.7861,-0.0265,0.795
0.6593610000000001,-0.118,-0.8013,-0.0269,0.81
0.6685450000000001,-0.1211,-0.8043,-0.0268,0.814
0.679386,-0.1231,-0.8021,-0.0268,0.812
0.6896140000000001,-0.1217,-0.795,-0.0263,0.805
0.6995600000000001,-0.1199,-0.7916,-0.0261,0.801
0.7098030000000001,-0.1171,-0.7829,-0.0257,0.792
0.719646,-0.1147,-0.7757,-0.0255,0.785
0.7388990000000001,-0.113,-0.7641,-0.0253,0.773
0.740225,-0.1108,-0.7489,-0.0246,0.757
0.7501420000000001,-0.106,-0.727,-0.0239,0.735
0.76082,-0.1011,-0.7029,-0.023,0.71
0.77012,-0.0965,-0.6862,-0.0226,0.693
0.780356,-0.0909,-0.6668,-0.022,0.673
0.790359,-0.0865,-0.65,-0.0215,0.656
0.800941,-0.0838,-0.6415,-0.0214,0.647
0.811632,-0.0807,-0.6314,-0.0212,0.637
0.8212590000000001,-0.0827,-0.6441,-0.0217,0.65
0.8312830000000001,-0.0856,-0.6572,-0.0223,0.663
0.841252,-0.0876,-0.6674,-0.0227,0.673
0.851767,-0.0878,-0.6693,-0.0227,0.675
0.8657800000000001,-0.0869,-0.6689,-0.0228,0.675
0.8714860000000001,-0.0863,-0.6779,-0.0232,0.684
0.8817240000000001,-0.0861,-0.6905,-0.0238,0.696
0.8917130000000001,-0.088,-0.7083,-0.0244,0.714
0.9017940000000001,-0.0909,-0.7238,-0.0251,0.73
0.9129170000000001,-0.0937,-0.7397,-0.0257,0.746
0.9227700000000001,-0.0957,-0.75,-0.026,0.757
0.93313,-0.0956,-0.7527,-0.0261,0.759
0.9442290000000001,-0.0944,-0.7501,-0.0261,0.757
0.953231,-0.0941,-0.7557,-0.0264,0.762
0.963272,-0.0931,-0.7646,-0.0267,0.771
0.9729540000000001,-0.0931,-0.7738,-0.0272,0.78
0.983669,-0.0943,-0.7854,-0.0281,0.792
0.9994340000000002,-0.0952,-0.7907,-0.0284,0.797
1.0033990000000002,-0.0957,-0.7944,-0.0287,0.801
1.013886,-0.0969,-0.7969,-0.0288,0.803
1.023956,-0.0951,-0.7885,-0.0286,0.795
1.033374,-0.0923,-0.7772,-0.0282,0.783
1.044145,-0.0897,-0.7748,-0.0279,0.78
1.054334,-0.0878,-0.7756,-0.0281,0.781
1.064622,-0.0879,-0.78,-0.0285,0.785
1.075058,-0.0887,-0.7854,-0.0287,0.791
1.084559,-0.0908,-0.7912,-0.0288,0.797
1.0943990000000001,-0.0929,-0.7968,-0.029,0.803
1.104447,-0.0942,-0.8015,-0.0291,0.808
1.115247,-0.0955,-0.8039,-0.0292,0.81
1.125585,-0.0988,-0.8167,-0.0298,0.823
1.135057,-0.1018,-0.83,-0.0302,0.837
1.147447,-0.1053,-0.8472,-0.0312,0.854
1.155727,-0.1078,-0.8589,-0.0319,0.866
1.165448,-0.1088,-0.8595,-0.0318,0.867
1.1765970000000001,-0.1095,-0.8631,-0.0317,0.871
1.185827,-0.11,-0.8624,-0.0317,0.87
1.19635,-0.1101,-0.862,-0.0319,0.87
1.206199,-0.1093,-0.8563,-0.0317,0.864
1.216162,-0.1072,-0.8461,-0.0313,0.853
1.225942,-0.1046,-0.8344,-0.0305,0.841
1.2367380000000001,-0.1033,-0.8275,-0.03,0.834
1.246536,-0.1016,-0.814,-0.0298,0.821
1.257657,-0.1008,-0.8063,-0.0292,0.813
1.267872,-0.0988,-0.7982,-0.0288,0.805
1.280359,-0.0988,-0.7982,-0.0289,0.805
1.287758,-0.099,-0.8,-0.0291,0.807
1.296645,-0.0997,-0.801,-0.0294,0.808
1.307657,-0.1,-0.8006,-0.0291,0.807
1.317768,-0.0992,-0.7974,-0.0289,0.804
1.328584,-0.0964,-0.7885,-0.0283,0.795
1.337818,-0.0931,-0.7783,-0.0278,0.784
1.34781,-0.0904,-0.7717,-0.0273,0.777
1.358896,-0.0885,-0.766,-0.0267,0.772
1.368579,-0.0892,-0.7693,-0.0268,0.775
1.37842,-0.0894,-0.7668,-0.0266,0.772
1.389044,-0.0894,-0.7669,-0.0263,0.773
1.39846,-0.0896,-0.7667,-0.0262,0.772
1.408883,-0.0896,-0.7645,-0.0258,0.77
1.41947,-0.0902,-0.768,-0.0259,0.774
1.4290150000000001,-0.0911,-0.771,-0.0261,0.777
1.4399870000000001,-0.0911,-0.771,-0.0261,0.777
1.449419,-0.0914,-0.773,-0.0259,0.779
1.459283,-0.0915,-0.7751,-0.0261,0.781
1.4693420000000001,-0.0913,-0.7709,-0.0257,0.777
1.4796690000000001,-0.0887,-0.7548,-0.025,0.76
1.490013,-0.0851,-0.738,-0.0244,0.743
1.500199,-0.0818,-0.7235,-0.0237,0.728
1.509934,-0.0792,-0.7141,-0.0236,0.719
1.520346,-0.0782,-0.709,-0.0237,0.714
1.530275,-0.0773,-0.7058,-0.0237,0.71
1.540864,-0.0788,-0.7121,-0.0242,0.717
1.550164,-0.0806,-0.718,-0.0246,0.723
1.560415,-0.0815,-0.7211,-0.0248,0.726
1.5712890000000002,-0.0819,-0.7271,-0.0251,0.732
1.5808360000000001,-0.081,-0.7264,-0.0252,0.731
1.591297,-0.0809,-0.731,-0.0254,0.736
1.601155,-0.081,-0.7423,-0.0258,0.747
1.6112680000000001,-0.0814,-0.7551,-0.0264,0.76
1.6217030000000001,-0.082,-0.7698,-0.027,0.775
