time,wx (rad/s),wy (rad/s),wz (rad/s)
0.0,0.21,0.1,-0.14
0.0010360000000000005,0.32,0.1,-0.1
0.0015019999999999999,0.37,0.09,-0.05
0.0049830000000000004,0.39,0.08,-0.0
0.0208,0.4,0.07,0.04
0.025620999999999998,0.4,0.06,0.06
0.035978,0.38,0.06,0.06
0.045788,0.36,0.07,0.03
0.056668,0.35,0.09,-0.01
0.06683800000000001,0.34,0.1,-0.05
0.087461,0.34,0.1,-0.07
0.08820800000000001,0.35,0.09,-0.07
0.097624,0.35,0.08,-0.07
0.107806,0.35,0.06,-0.06
0.11762700000000001,0.35,0.05,-0.04
0.12816799999999998,0.34,0.04,-0.02
0.138781,0.33,0.04,0.01
0.14812199999999998,0.24,0.02,0.02
0.158915,0.21,0.03,0.03
0.168983,0.19,0.03,0.04
0.17990599999999998,0.1,0.02,0.02
0.18948099999999998,0.05,0.01,0.01
0.199674,0.02,0.0,0.0
0.220221,0.08,0.06,-0.0
0.221026,0.11,0.09,-0.01
0.23074299999999998,0.18,0.04,-0.0
0.24104699999999998,0.22,0.01,-0.0
0.25117,0.11,0.01,-0.0
0.261374,0.13,-0.01,-0.0
0.272236,0.14,-0.01,-0.0
0.28201699999999996,0.07,-0.01,-0.0
0.29290299999999997,0.12,0.01,-0.04
0.302325,0.15,0.02,-0.06
0.3126,0.18,0.02,-0.08
0.324208,0.19,0.02,-0.08
0.332651,0.21,0.02,-0.09
0.343708,0.21,0.01,-0.1
0.35447,0.21,0.02,-0.09
0.368988,0.22,0.03,-0.09
0.375264,0.21,0.04,-0.06
0.38434999999999997,0.21,0.04,-0.04
0.394437,0.21,0.03,-0.02
0.405084,0.21,0.03,-0.01
0.415446,0.22,0.01,0.0
0.425237,0.22,0.01,0.0
0.435397,0.22,-0.0,0.0
0.446033,0.22,-0.01,0.01
0.45686099999999996,0.22,-0.03,0.01
0.466636,0.21,-0.04,0.02
0.476642,0.2,-0.04,0.03
0.48738,0.2,-0.04,0.04
0.5013390000000001,0.19,-0.04,0.07
0.508112,0.18,-0.04,0.08
0.5187860000000001,0.17,-0.03,0.09
0.527966,0.16,-0.03,0.1
0.538458,0.14,-0.02,0.09
0.548981,0.13,-0.02,0.08
0.5606230000000001,0.12,-0.04,0.07
0.5699110000000001,0.12,-0.05,0.06
0.579316,0.11,-0.06,0.04
0.591335,0.1,-0.07,0.03
0.600376,0.05,-0.04,0.02
0.6095250000000001,0.09,-0.05,0.0
0.6207710000000001,0.1,-0.06,-0.0
0.6341920000000001,0.05,-0.03,-0.0
0.6406430000000001,0.1,-0.03,-0.01
0.6507740000000001,0.12,-0.03,-0.02
0.6609480000000001,0.06,-0.02,-0.01
0.672097,0.13,-0.01,0.01
0.682278,0.17,-0.01,0.01
0.692373,0.09,-0.0,0.01
0.702273,0.13,-0.02,0.06
0.712461,0.15,-0.02,0.08
0.723369,0.12,-0.04,0.1
0.7327450000000001,0.11,-0.05,0.11
0.7433930000000001,0.1,-0.06,0.14
0.753718,0.09,-0.07,0.15
0.7664810000000001,0.09,-0.06,0.16
0.7736040000000001,0.09,-0.06,0.16
0.7843110000000001,0.08,-0.07,0.15
0.794648,0.08,-0.07,0.15
0.804988,0.07,-0.07,0.14
0.8153140000000001,0.07,-0.07,0.13
0.825102,0.06,-0.07,0.11
0.8365910000000001,0.06,-0.07,0.1
0.8460660000000001,0.04,-0.09,0.09
0.856149,0.03,-0.09,0.08
0.8663660000000001,0.02,-0.05,0.04
0.8767790000000001,0.01,-0.02,0.02
0.887592,-0.05,-0.05,0.03
0.897248,-0.08,-0.06,0.04
0.909431,-0.04,-0.03,0.02
0.91747,-0.14,-0.04,0.03
0.928189,-0.34,-0.05,0.05
0.93933,-0.53,-0.03,0.06
0.9489380000000001,-0.71,-0.01,0.06
0.9592590000000001,-0.85,-0.01,0.06
0.969755,-0.92,-0.02,0.06
0.979828,-0.94,-0.02,0.06
0.989163,-0.91,-0.03,0.05
1.001251,-0.81,-0.03,0.05
1.0098669999999998,-0.66,-0.03,0.05
1.020781,-0.42,-0.03,0.04
1.0310759999999999,-0.22,-0.01,0.02
1.042665,-0.08,-0.05,0.04
1.0512009999999998,-0.01,-0.07,0.05
1.060816,0.1,-0.07,0.04
1.072022,0.15,-0.07,0.04
1.082001,0.19,-0.07,0.03
1.092055,0.2,-0.07,0.02
1.1025939999999999,0.21,-0.06,0.02
1.113182,0.21,-0.06,0.02
1.122992,0.22,-0.08,0.02
1.133894,0.23,-0.08,0.02
1.143519,0.23,-0.09,0.02
1.158742,0.24,-0.09,0.03
1.163816,0.24,-0.08,0.03
1.1739549999999999,0.25,-0.07,0.03
1.184939,0.24,-0.09,0.04
1.194809,0.24,-0.09,0.04
1.204886,0.24,-0.1,0.04
1.21596,0.24,-0.11,0.04
1.225249,0.24,-0.11,0.04
1.235816,0.24,-0.1,0.04
1.245485,0.22,-0.09,0.05
1.255731,0.22,-0.08,0.05
1.266058,0.2,-0.08,0.05
1.276214,0.2,-0.07,0.06
1.287831,0.19,-0.09,0.05
1.2970949999999999,0.19,-0.09,0.05
1.307714,0.19,-0.1,0.04
1.317339,0.19,-0.11,0.03
1.32758,0.18,-0.12,0.02
1.338071,0.17,-0.13,0.01
1.348485,0.16,-0.13,-0.0
1.358724,0.14,-0.13,-0.01
1.369739,0.14,-0.12,-0.02
1.380001,0.14,-0.12,-0.02
1.389333,0.14,-0.11,-0.03
1.400093,0.14,-0.11,-0.04
1.409473,0.13,-0.1,-0.05
1.420016,0.12,-0.1,-0.05
1.431219,0.11,-0.1,-0.05
1.440915,0.11,-0.09,-0.06
1.451665,0.05,-0.05,-0.03
1.4613079999999998,0.09,-0.1,-0.04
1.4711269999999999,0.11,-0.12,-0.04
1.4820659999999999,0.09,-0.12,-0.02
