time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.0,0.0369,-0.0427,0.4963,0.5
0.010180000000000002,0.0374,-0.0431,0.4978,0.501
0.032241,0.0373,-0.0429,0.4983,0.502
0.033463,0.0379,-0.0431,0.5005,0.504
0.039850000000000003,0.0379,-0.0432,0.5002,0.504
0.05042,0.0381,-0.0429,0.4996,0.503
0.06415399999999999,0.038,-0.0428,0.4995,0.503
0.07087399999999999,0.0381,-0.0425,0.4968,0.5
0.08032199999999999,0.0379,-0.0429,0.4974,0.501
0.09058999999999999,0.0383,-0.0428,0.4953,0.499
0.10303899999999999,0.038,-0.0424,0.4923,0.496
0.111533,0.0375,-0.0423,0.4914,0.495
0.12136699999999999,0.0388,-0.0436,0.4923,0.496
0.13120600000000002,0.0374,-0.0423,0.4906,0.494
0.14186200000000002,0.0368,-0.0416,0.4893,0.492
0.15306,0.0363,-0.0416,0.4855,0.489
0.161688,0.0365,-0.0412,0.484,0.487
0.171826,0.0361,-0.0405,0.4818,0.485
0.18224100000000001,0.0361,-0.0405,0.4811,0.484
0.195747,0.0362,-0.0406,0.4798,0.483
0.202015,0.0359,-0.0408,0.4784,0.482
0.21271900000000002,0.0355,-0.0403,0.4756,0.479
0.222648,0.0358,-0.0403,0.476,0.479
0.23258800000000002,0.0354,-0.0403,0.4753,0.478
0.242729,0.0354,-0.04,0.4748,0.478
0.253556,0.0353,-0.04,0.473,0.476
0.262927,0.035,-0.0398,0.4712,0.474
0.27328800000000003,0.0348,-0.0401,0.4721,0.475
0.283287,0.0352,-0.04,0.4722,0.475
0.293945,0.035,-0.0403,0.4732,0.476
0.30328700000000003,0.0352,-0.0404,0.474,0.477
0.313772,0.0353,-0.0405,0.4752,0.478
0.327447,0.0354,-0.0405,0.4767,0.48
0.334206,0.0353,-0.0405,0.476,0.479
0.344433,0.0355,-0.0404,0.4745,0.478
0.354383,0.036,-0.0406,0.4785,0.482
0.364922,0.0359,-0.0407,0.4773,0.48
0.374573,0.0361,-0.0411,0.4787,0.482
0.384508,0.0361,-0.0412,0.4799,0.483
0.395003,0.0363,-0.0414,0.4806,0.484
0.40500600000000003,0.0366,-0.0415,0.4835,0.487
0.41544000000000003,0.0364,-0.0417,0.4866,0.49
0.42543000000000003,0.0363,-0.0419,0.4867,0.49
0.435652,0.0362,-0.0419,0.4861,0.489
0.44608200000000003,0.0364,-0.0421,0.4872,0.49
0.462366,0.0364,-0.0423,0.4876,0.491
0.465629,0.0366,-0.0423,0.4875,0.491
0.475475,0.0367,-0.0424,0.488,0.491
0.486262,0.0363,-0.0423,0.4863,0.489
0.496162,0.0365,-0.0418,0.4844,0.488
0.505872,0.0362,-0.0416,0.4839,0.487
0.5172239999999999,0.0359,-0.0409,0.4788,0.482
0.526643,0.0362,-0.0411,0.479,0.482
0.5367869999999999,0.0359,-0.0414,0.4798,0.483
0.5468729999999999,0.0361,-0.0414,0.4829,0.486
0.556554,0.0362,-0.0415,0.4831,0.486
0.566923,0.0365,-0.0417,0.4859,0.489
0.577378,0.0363,-0.0419,0.4854,0.489
0.596792,0.0363,-0.042,0.4849,0.488
0.598255,0.0366,-0.0421,0.488,0.491
0.607278,0.0362,-0.0418,0.4836,0.487
0.61774,0.0363,-0.0416,0.4816,0.485
0.62742,0.0363,-0.0417,0.4802,0.483
0.6382369999999999,0.0363,-0.0413,0.479,0.482
0.6481319999999999,0.0361,-0.0412,0.477,0.48
0.6579459999999999,0.0359,-0.0409,0.4759,0.479
0.668001,0.0358,-0.0411,0.478,0.481
0.67831,0.0359,-0.041,0.4765,0.48
0.6886,0.0359,-0.0411,0.4785,0.482
0.700051,0.0363,-0.0416,0.483,0.486
0.708657,0.0364,-0.0419,0.4843,0.487
0.718822,0.0366,-0.0425,0.4872,0.49
0.729699,0.0364,-0.0424,0.4875,0.491
0.7434179999999999,0.0366,-0.0423,0.4867,0.49
0.748953,0.0366,-0.0425,0.4863,0.49
0.7596609999999999,0.0361,-0.0422,0.4829,0.486
0.769717,0.0361,-0.0421,0.4816,0.485
0.779982,0.0363,-0.042,0.4841,0.487
0.7904249999999999,0.0366,-0.0424,0.4868,0.49
0.800256,0.0366,-0.0425,0.4866,0.49
0.810576,0.0366,-0.0426,0.4873,0.491
0.820884,0.0368,-0.0426,0.4889,0.492
0.8302309999999999,0.0368,-0.0424,0.4893,0.492
0.8402,0.0369,-0.0426,0.4915,0.495
0.851166,0.0368,-0.0424,0.4929,0.496
0.861057,0.0372,-0.0425,0.4955,0.499
0.8708039999999999,0.0375,-0.0422,0.4938,0.497
0.88191,0.0376,-0.0423,0.4961,0.499
0.8913139999999999,0.0375,-0.042,0.4942,0.497
0.901918,0.0372,-0.042,0.492,0.495
0.9114559999999999,0.0372,-0.0421,0.4924,0.496
0.922153,0.0371,-0.0419,0.4915,0.495
0.931504,0.037,-0.0419,0.491,0.494
0.9427719999999999,0.037,-0.0419,0.491,0.494
0.9522339999999999,0.037,-0.0418,0.4907,0.494
0.962808,0.0374,-0.0424,0.4944,0.498
0.972726,0.0373,-0.0423,0.4957,0.499
0.982532,0.0373,-0.0425,0.4945,0.498
0.9925919999999999,0.037,-0.0422,0.4923,0.495
1.002828,0.0366,-0.0419,0.4905,0.494
1.013355,0.0372,-0.0424,0.4934,0.497
1.023069,0.0369,-0.0425,0.4924,0.496
1.033039,0.0366,-0.0424,0.4908,0.494
1.043476,0.0368,-0.0428,0.4914,0.495
1.053901,0.037,-0.043,0.4913,0.495
1.0647250000000001,0.0364,-0.043,0.4881,0.491
1.073617,0.0362,-0.043,0.4861,0.489
1.083701,0.0358,-0.0429,0.4861,0.489
1.094613,0.0359,-0.0432,0.4884,0.492
1.1043370000000001,0.0362,-0.0432,0.4902,0.493
1.114598,0.0359,-0.043,0.4897,0.493
1.124378,0.0357,-0.043,0.4884,0.492
1.134651,0.0359,-0.0429,0.4895,0.493
1.1451980000000002,0.036,-0.0432,0.4916,0.495
1.155254,0.036,-0.0433,0.4922,0.495
1.164795,0.0362,-0.0431,0.4891,0.492
1.174979,0.0358,-0.0429,0.4854,0.489
1.184831,0.0356,-0.0425,0.4835,0.487
1.195375,0.0356,-0.0422,0.482,0.485
1.205332,0.036,-0.0421,0.4839,0.487
1.2153370000000001,0.0358,-0.042,0.4838,0.487
1.226124,0.0359,-0.0421,0.4857,0.489
1.2358580000000001,0.0363,-0.0421,0.4888,0.492
1.246483,0.0362,-0.042,0.4892,0.492
1.255729,0.0361,-0.042,0.489,0.492
1.266572,0.0363,-0.0423,0.4929,0.496
1.276367,0.0366,-0.0423,0.4964,0.5
1.2868920000000001,0.0371,-0.0426,0.4981,0.501
1.296163,0.037,-0.0424,0.4967,0.5
1.3067440000000001,0.0366,-0.0424,0.497,0.5
1.316847,0.0372,-0.0428,0.4995,0.503
1.3269110000000002,0.0375,-0.0429,0.5031,0.506
1.337409,0.0375,-0.0432,0.5041,0.507
1.348239,0.0378,-0.0429,0.5026,0.506
1.357954,0.0375,-0.0428,0.5036,0.507
1.36732,0.037,-0.0425,0.5027,0.506
1.379108,0.0372,-0.0427,0.5038,0.507
1.387626,0.0371,-0.0429,0.5049,0.508
1.398393,0.0371,-0.0433,0.5062,0.509
1.4080970000000002,0.0371,-0.0437,0.5069,0.51
1.4184830000000002,0.0371,-0.0439,0.5086,0.512
1.432795,0.0371,-0.0435,0.5065,0.51
1.439562,0.0369,-0.0436,0.5048,0.508
1.4488990000000002,0.0366,-0.0438,0.504,0.507
1.459092,0.0361,-0.0432,0.5006,0.504
1.468623,0.0367,-0.0436,0.5017,0.505
1.478993,0.0365,-0.0437,0.5002,0.503
1.489063,0.0362,-0.0436,0.4998,0.503
1.499711,0.0362,-0.0438,0.4994,0.503
1.509314,0.0362,-0.0438,0.4992,0.502
1.519269,0.036,-0.0436,0.4983,0.501
1.529103,0.0362,-0.0434,0.4952,0.498
1.540202,0.0359,-0.0433,0.4941,0.497
1.5500990000000001,0.0358,-0.0433,0.4949,0.498
1.5602010000000002,0.036,-0.0434,0.4945,0.498
1.570051,0.0361,-0.0435,0.4943,0.498
1.580004,0.0363,-0.0435,0.4969,0.5
1.590479,0.0368,-0.0436,0.4998,0.503
1.60053,0.0366,-0.0435,0.4992,0.502
1.611134,0.0363,-0.0433,0.496,0.499
1.620943,0.0362,-0.0432,0.493,0.496
1.631238,0.0363,-0.0434,0.4936,0.497
1.6416060000000001,0.0362,-0.0432,0.493,0.496
1.6514090000000001,0.0366,-0.043,0.4926,0.496
1.661713,0.0368,-0.0433,0.4929,0.496
1.671635,0.0364,-0.0429,0.4908,0.494
1.681642,0.0363,-0.043,0.4898,0.493
1.692036,0.0361,-0.0428,0.4869,0.49
1.7019220000000002,0.036,-0.0426,0.4856,0.489
1.711676,0.0362,-0.0427,0.4852,0.488
1.722213,0.0358,-0.0429,0.4832,0.486
1.7321,0.0357,-0.0434,0.4858,0.489
1.7437610000000001,0.036,-0.0432,0.484,0.487
1.7522,0.0355,-0.0432,0.483,0.486
1.76245,0.0357,-0.043,0.4829,0.486
1.773139,0.0363,-0.0435,0.4865,0.49
1.7829700000000002,0.0361,-0.0434,0.4849,0.488
1.7938800000000001,0.0358,-0.0435,0.4833,0.487
1.803385,0.0361,-0.0436,0.4849,0.488
1.814192,0.0364,-0.0436,0.4877,0.491
1.823925,0.0364,-0.0433,0.4893,0.493
1.8342500000000002,0.0366,-0.0433,0.4901,0.493
1.8473330000000001,0.0366,-0.0435,0.4914,0.495
1.8537210000000002,0.0365,-0.0434,0.4911,0.494
1.864063,0.0364,-0.0433,0.4911,0.494
1.8747580000000001,0.0365,-0.0432,0.4924,0.496
1.884314,0.0365,-0.043,0.4914,0.495
1.8945720000000001,0.037,-0.0433,0.495,0.498
1.904412,0.0369,-0.0431,0.4939,0.497
1.915125,0.0368,-0.0428,0.4946,0.498
1.9266020000000001,0.037,-0.0425,0.4944,0.498
1.935492,0.0369,-0.0426,0.4952,0.498
1.944472,0.0368,-0.0425,0.4974,0.501
1.9553120000000002,0.0374,-0.0426,0.4983,0.502
1.965416,0.0373,-0.0428,0.4983,0.501
1.98093,0.0368,-0.0425,0.4977,0.501
1.985641,0.0369,-0.0427,0.4986,0.502
1.995366,0.037,-0.0425,0.4985,0.502
2.0063199999999997,0.0369,-0.0425,0.4983,0.502
2.015307,0.0368,-0.0426,0.4968,0.5
2.0259519999999998,0.0366,-0.0427,0.4961,0.499
2.0366519999999997,0.0362,-0.0424,0.4937,0.497
2.046401,0.0363,-0.0425,0.4939,0.497
2.056193,0.036,-0.0422,0.4915,0.495
2.066534,0.036,-0.0422,0.4915,0.495
2.0765629999999997,0.0357,-0.0418,0.4874,0.49
2.0869229999999996,0.0357,-0.0419,0.4874,0.49
2.0966329999999997,0.0352,-0.0415,0.4846,0.488
2.111395,0.0351,-0.0415,0.4844,0.487
2.117018,0.035,-0.0416,0.482,0.485
2.127262,0.0351,-0.0416,0.4827,0.486
2.137965,0.0352,-0.0412,0.4807,0.484
2.1477299999999997,0.0349,-0.0411,0.4772,0.48
2.157783,0.0348,-0.0411,0.4771,0.48
2.16754,0.0348,-0.0413,0.4775,0.481
2.178034,0.0347,-0.0409,0.4752,0.478
2.1883709999999996,0.0347,-0.0408,0.4734,0.476
2.1980929999999996,0.0346,-0.0409,0.4716,0.475
2.2082319999999998,0.0344,-0.0408,0.4696,0.473
2.2189319999999997,0.0341,-0.0406,0.4672,0.47
2.228777,0.0341,-0.0404,0.4654,0.468
2.2389889999999997,0.0348,-0.0409,0.4693,0.472
2.249821,0.0346,-0.0409,0.4698,0.473
2.2616259999999997,0.0349,-0.0414,0.4741,0.477
2.269012,0.0354,-0.0419,0.4786,0.482
2.2792499999999998,0.0356,-0.0423,0.4826,0.486
2.291242,0.0361,-0.0425,0.4866,0.49
2.2996179999999997,0.0363,-0.0429,0.4891,0.492
2.3095649999999996,0.0364,-0.0429,0.4909,0.494
2.3194239999999997,0.0366,-0.043,0.4938,0.497
2.3298349999999997,0.0366,-0.0433,0.4962,0.499
2.341548,0.0364,-0.0431,0.4965,0.5
2.350667,0.0367,-0.0434,0.4989,0.502
2.3604439999999998,0.0366,-0.0434,0.4977,0.501
2.371172,0.0364,-0.0433,0.4977,0.501
2.380549,0.0366,-0.0436,0.4997,0.503
2.3941749999999997,0.0367,-0.0436,0.4989,0.502
2.401214,0.0368,-0.0436,0.4989,0.502
2.411079,0.037,-0.0434,0.5003,0.504
2.421567,0.0376,-0.0437,0.5044,0.508
2.4307909999999997,0.0376,-0.0439,0.5076,0.511
2.441582,0.0372,-0.0438,0.5066,0.51
2.452015,0.0376,-0.0436,0.5031,0.506
