time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.0,0.0038,0.1531,0.2136,0.263
0.00991300000000006,0.0019,0.138,0.194,0.238
0.02041700000000013,0.0004,0.1145,0.1628,0.199
0.030514000000000152,-0.0005,0.0826,0.1189,0.145
0.04073500000000019,-0.0008,0.0497,0.0726,0.088
0.05020900000000017,-0.0002,0.0091,0.0135,0.016
0.06015199999999998,0.0011,-0.0322,-0.0483,0.058
0.07052000000000014,0.0033,-0.0735,-0.1123,0.134
0.08046100000000012,0.0063,-0.1214,-0.1891,0.225
0.09127099999999988,0.0099,-0.1696,-0.2701,0.319
0.10125200000000012,0.0139,-0.2228,-0.363,0.426
0.11149500000000012,0.0176,-0.2745,-0.4583,0.535
0.12186300000000028,0.0211,-0.3221,-0.5523,0.64
0.1314230000000003,0.0235,-0.3651,-0.6426,0.739
0.14151500000000006,0.0254,-0.4169,-0.7522,0.86
0.15168300000000023,0.0272,-0.4836,-0.889,1.012
0.16155000000000008,0.0273,-0.5563,-1.0404,1.18
0.17153300000000016,0.027,-0.6308,-1.1964,1.353
0.18204200000000004,0.0235,-0.6669,-1.296,1.458
0.19150400000000012,0.0187,-0.6799,-1.3616,1.522
0.20243300000000009,0.0119,-0.6741,-1.3931,1.548
0.21203200000000022,0.0066,-0.6614,-1.4154,1.562
0.2226370000000002,0.0011,-0.6419,-1.4173,1.556
0.23304100000000005,-0.0035,-0.6117,-1.3889,1.518
0.2426630000000003,-0.0067,-0.5777,-1.348,1.467
0.2531340000000002,-0.0098,-0.5349,-1.2843,1.391
0.26288599999999995,-0.0123,-0.4918,-1.2106,1.307
0.2744650000000002,-0.0147,-0.4515,-1.1326,1.219
0.2832620000000001,-0.0164,-0.4069,-1.0386,1.116
0.29296999999999995,-0.0176,-0.3642,-0.9432,1.011
0.3034080000000001,-0.0176,-0.3178,-0.8322,0.891
0.31396099999999993,-0.0163,-0.2698,-0.7134,0.763
0.3234910000000002,-0.0151,-0.2233,-0.5952,0.636
0.33433400000000013,-0.0131,-0.1777,-0.4776,0.51
0.343712,-0.0103,-0.1321,-0.3566,0.38
0.35466200000000025,-0.0074,-0.0884,-0.2398,0.256
0.3641070000000002,-0.0044,-0.052,-0.1411,0.15
0.37451900000000027,-0.0014,-0.0168,-0.0453,0.048
0.38440600000000025,0.0003,0.004,0.0107,0.011
0.39478599999999986,0.0012,0.0146,0.0383,0.041
0.4066239999999999,0.0015,0.0189,0.0488,0.052
0.4149609999999999,0.0016,0.0213,0.0538,0.058
0.4256260000000003,0.0016,0.0234,0.0578,0.062
0.4357739999999999,0.0015,0.0239,0.0576,0.062
0.4459150000000003,0.0015,0.025,0.0587,0.064
0.4567450000000002,0.0016,0.0281,0.0643,0.07
0.4660380000000002,0.0016,0.0296,0.0661,0.072
0.47530399999999995,0.0016,0.0317,0.0694,0.076
0.4863219999999999,0.0017,0.0346,0.0743,0.082
0.4966180000000002,0.0018,0.0384,0.0808,0.089
0.5061750000000003,0.0018,0.0397,0.0819,0.091
0.5170409999999999,0.0018,0.0415,0.0843,0.094
0.5269010000000001,0.0019,0.0449,0.0896,0.1
0.5364279999999999,0.0021,0.0495,0.097,0.109
0.5466009999999999,0.0023,0.0537,0.1036,0.117
0.5569109999999999,0.0025,0.0594,0.1125,0.127
0.568225,0.0029,0.0668,0.1245,0.141
0.578103,0.0032,0.0724,0.1326,0.151
0.587548,0.0033,0.0753,0.1359,0.155
0.5970930000000001,0.0035,0.0817,0.145,0.166
0.6083099999999999,0.0037,0.0862,0.1506,0.174
0.6181559999999999,0.004,0.0914,0.1574,0.182
0.6282860000000001,0.0041,0.0929,0.1578,0.183
0.6428289999999999,0.0045,0.0906,0.1523,0.177
0.648015,0.0049,0.0861,0.1436,0.167
0.6578390000000001,0.0053,0.0806,0.1335,0.156
0.6686800000000002,0.0059,0.0757,0.1243,0.146
0.6782120000000003,0.0066,0.0744,0.1209,0.142
0.6887600000000003,0.0071,0.07,0.1128,0.133
0.6985809999999999,0.0074,0.0653,0.1041,0.123
0.7088650000000003,0.008,0.0626,0.0987,0.117
0.7192540000000003,0.009,0.0622,0.0975,0.116
0.7293980000000002,0.0108,0.0668,0.1046,0.125
0.7393840000000003,0.0139,0.0767,0.1205,0.144
0.7494650000000003,0.0181,0.0887,0.1403,0.167
0.7597209999999999,0.0226,0.0989,0.1573,0.187
0.7743610000000003,0.0299,0.1181,0.1897,0.225
0.7799010000000002,0.0424,0.1518,0.2477,0.294
0.790454,0.0586,0.1924,0.3201,0.378
0.8003020000000003,0.0794,0.2409,0.4105,0.483
0.8106499999999999,0.1063,0.301,0.5265,0.616
0.8211360000000001,0.1294,0.344,0.6171,0.718
0.8307220000000002,0.1431,0.3602,0.6576,0.763
0.840471,0.1474,0.3582,0.6621,0.767
0.8510390000000001,0.1469,0.3468,0.6507,0.752
0.8609430000000002,0.1486,0.3423,0.6552,0.754
0.8712690000000003,0.1524,0.3435,0.6754,0.773
0.8816250000000001,0.15,0.3318,0.6682,0.761
0.8910770000000001,0.1475,0.3214,0.6621,0.751
0.9017210000000002,0.1382,0.2955,0.6221,0.702
0.9110360000000002,0.1292,0.2711,0.583,0.656
0.9248820000000002,0.1146,0.238,0.5199,0.583
0.9319790000000001,0.0997,0.2057,0.4545,0.509
0.9420310000000001,0.0837,0.1711,0.3817,0.427
0.9522569999999999,0.0695,0.1415,0.3181,0.355
0.9623370000000002,0.0589,0.12,0.2728,0.304
0.972099,0.0473,0.097,0.222,0.247
0.982351,0.0309,0.0641,0.1469,0.163
0.9924940000000002,0.0125,0.0262,0.0598,0.066
1.003698,-0.0085,-0.0181,-0.041,0.046
1.0133390000000002,-0.0341,-0.0726,-0.1635,0.182
1.022434,-0.0539,-0.1156,-0.2585,0.288
1.033455,-0.061,-0.1319,-0.2952,0.329
1.0431500000000002,-0.0594,-0.1291,-0.2901,0.323
1.0575870000000003,-0.0549,-0.1201,-0.27,0.301
1.063517,-0.0543,-0.1196,-0.2677,0.298
1.07431,-0.0585,-0.1297,-0.2878,0.321
1.0843860000000003,-0.0571,-0.1266,-0.2801,0.313
1.094459,-0.056,-0.1235,-0.2731,0.305
1.1041910000000001,-0.0463,-0.1024,-0.2272,0.253
1.114585,-0.0373,-0.0822,-0.1834,0.204
1.1242010000000002,-0.0244,-0.0536,-0.1205,0.134
1.136517,-0.0145,-0.0319,-0.0724,0.08
1.1444870000000003,-0.0046,-0.0102,-0.0233,0.026
1.154427,0.002,0.0044,0.0102,0.011
1.165466,0.0057,0.0127,0.0293,0.032
1.1753460000000002,0.0058,0.013,0.0303,0.034
1.1893120000000001,0.0064,0.0145,0.0338,0.037
1.1956290000000003,0.0071,0.0162,0.038,0.042
1.2054930000000001,0.0076,0.0174,0.041,0.045
1.2162640000000002,0.0086,0.0201,0.0474,0.052
1.225736,0.0102,0.0242,0.057,0.063
1.2360000000000002,0.0125,0.03,0.0705,0.078
1.246258,0.0146,0.0359,0.0833,0.092
1.256313,0.0169,0.0428,0.0979,0.108
1.2661000000000002,0.0186,0.0486,0.1098,0.121
1.275814,0.0199,0.054,0.1198,0.133
1.286245,0.0197,0.0555,0.1208,0.134
1.296744,0.0186,0.0548,0.1167,0.13
1.307017,0.0171,0.0523,0.109,0.122
1.3193040000000003,0.0153,0.0492,0.0999,0.112
1.326985,0.0129,0.0437,0.0864,0.098
1.3368190000000002,0.0115,0.0409,0.0788,0.09
1.3472210000000002,0.0117,0.0442,0.083,0.095
1.357697,0.0119,0.0479,0.0876,0.101
1.3674500000000003,0.0142,0.0606,0.1085,0.125
1.378098,0.0177,0.0791,0.1384,0.16
1.387582,0.0208,0.0968,0.1661,0.193
1.398031,0.0222,0.1073,0.1803,0.211
1.408112,0.0214,0.1082,0.178,0.209
1.418978,0.0202,0.1077,0.1738,0.205
1.4290470000000002,0.0186,0.1058,0.1673,0.199
1.43857,0.0163,0.0996,0.1546,0.185
1.448521,0.014,0.0923,0.1406,0.169
1.458446,0.0116,0.0832,0.1242,0.15
1.471108,0.0096,0.0766,0.1117,0.136
1.4793920000000003,0.0084,0.076,0.1086,0.133
1.4892190000000003,0.0081,0.0846,0.119,0.146
1.499562,0.0087,0.1092,0.1516,0.187
1.5093699999999997,0.0087,0.138,0.1903,0.235
1.5190260000000002,0.008,0.1693,0.2331,0.288
1.529744,0.0064,0.1901,0.262,0.324
1.5395630000000002,0.0041,0.204,0.2823,0.348
1.5506539999999998,0.0017,0.2009,0.2796,0.344
1.5607100000000003,-0.0001,0.1848,0.2588,0.318
1.570596,-0.0017,0.1479,0.2079,0.255
1.5807890000000002,-0.0023,0.1041,0.1464,0.18
1.5901950000000005,-0.0022,0.0641,0.0905,0.111
1.6009400000000005,-0.001,0.0209,0.0296,0.036
1.6112929999999999,0.0004,-0.0072,-0.0103,0.013
1.6215140000000003,0.0028,-0.0453,-0.0654,0.08
1.63136,0.0052,-0.078,-0.1146,0.139
1.641089,0.0077,-0.1127,-0.1692,0.203
1.650652,0.0102,-0.1481,-0.2284,0.272
1.6617410000000001,0.0126,-0.1836,-0.2923,0.345
