time,wx (rad/s),wy (rad/s),wz (rad/s)
0.0,0.53,-0.15,-0.04
0.009233000000000047,0.55,-0.23,-0.04
0.01932400000000012,0.53,-0.25,-0.04
0.030369000000000312,0.47,-0.26,-0.04
0.0395850000000002,0.36,-0.29,-0.04
0.050051999999999985,0.23,-0.34,-0.03
0.0608430000000002,0.11,-0.38,-0.04
0.07065400000000022,0.01,-0.36,-0.05
0.08064300000000024,-0.07,-0.3,-0.07
0.09106000000000014,-0.07,-0.2,-0.06
0.10134700000000008,-0.13,-0.12,-0.11
0.11163300000000032,-0.16,-0.07,-0.13
0.12241400000000002,-0.15,0.02,-0.17
0.1323190000000003,-0.15,0.06,-0.2
0.14252400000000032,-0.14,0.16,-0.24
0.1521760000000003,-0.15,0.29,-0.34
0.16326300000000016,-0.11,0.3,-0.32
0.17334700000000014,-0.07,0.23,-0.24
0.18345600000000006,-0.04,0.24,-0.28
0.19384700000000032,0.0,0.28,-0.39
0.20445599999999997,0.06,0.21,-0.36
0.214159,0.12,0.15,-0.35
0.224472,0.17,0.11,-0.35
0.2347100000000002,0.22,0.07,-0.35
0.24990099999999993,0.26,0.02,-0.36
0.2549140000000003,0.3,-0.04,-0.36
0.265644,0.32,-0.12,-0.36
0.276011,0.32,-0.2,-0.36
0.2861440000000002,0.29,-0.29,-0.35
0.2965200000000001,0.23,-0.37,-0.34
0.30698800000000004,0.15,-0.44,-0.32
0.3169520000000001,0.08,-0.51,-0.3
0.32845800000000036,0.04,-0.58,-0.29
0.33739700000000017,0.03,-0.63,-0.29
0.3476340000000002,0.05,-0.66,-0.29
0.3580680000000003,0.07,-0.68,-0.28
0.36793699999999996,0.09,-0.69,-0.28
0.3818380000000001,0.07,-0.7,-0.27
0.3879640000000002,0.03,-0.74,-0.25
0.39867700000000017,-0.02,-0.81,-0.21
0.40846000000000027,-0.05,-0.9,-0.17
0.41915400000000025,-0.07,-1.0,-0.12
0.4293840000000002,-0.06,-1.11,-0.06
0.4397820000000001,-0.04,-1.24,0.0
0.450704,-0.05,-1.43,0.05
0.461144,-0.07,-1.68,0.1
0.47065500000000027,-0.11,-1.88,0.13
0.481382,-0.16,-1.96,0.14
0.49171699999999996,-0.22,-1.87,0.13
0.5009490000000003,-0.29,-1.62,0.12
0.5147740000000001,-0.34,-1.28,0.1
0.522179,-0.38,-0.99,0.09
0.531863,-0.37,-0.93,0.1
0.5428000000000002,-0.33,-1.14,0.13
0.5526660000000003,-0.26,-1.47,0.17
0.563374,-0.19,-1.63,0.18
0.5730600000000003,-0.13,-1.45,0.14
0.582897,-0.09,-0.96,0.09
0.5936050000000002,-0.1,-0.55,0.04
0.6044110000000003,-0.11,-0.34,0.01
0.614687,-0.19,-0.16,0.0
0.6250620000000002,-0.33,-0.07,0.0
0.6349670000000001,-0.36,-0.08,0.02
0.644908,-0.39,-0.17,0.06
0.6555650000000002,-0.39,-0.27,0.11
0.6658720000000002,-0.39,-0.35,0.15
0.676593,-0.38,-0.37,0.18
0.685861,-0.37,-0.34,0.19
0.6957800000000001,-0.35,-0.27,0.19
0.7067399999999999,-0.32,-0.18,0.19
0.7160839999999999,-0.28,-0.1,0.19
0.7266220000000003,-0.19,-0.05,0.14
0.7367220000000003,-0.17,-0.01,0.16
0.7476760000000002,-0.16,0.01,0.16
0.757841,-0.14,0.07,0.15
0.7683590000000002,-0.15,0.16,0.18
0.7785980000000001,-0.11,0.23,0.16
0.788516,-0.09,0.3,0.15
0.7981340000000001,-0.08,0.37,0.14
0.8095920000000003,-0.07,0.41,0.14
0.8190790000000003,-0.07,0.45,0.14
0.8296800000000002,-0.07,0.48,0.14
0.8403050000000003,-0.07,0.49,0.14
0.8503830000000003,-0.07,0.5,0.14
